Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p22stat01.csv,,,,,,,,,,,,
"Appendix Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and race or Hispanic origin, December 31, 2022",,,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2022 (preliminary); and National Prisoner Statistics, 2022",,,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,,
,,,,,,,,,,,,
"Appendix Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and race or Hispanic origin, December 31, 2022",,,,,,,,,,,,
Jurisdiction,,Total,White/a,Black/a,Hispanic,American Indian/Alaska Native/a,Asian/a,Native Hawaiian/Other Pacific Islander/a,Two or more races/a,Other/a,Unknown,Did not report
"Federal/b,c,d",,"159,309","47,974","58,120","47,241","3,838","2,137",/,/,~,~,0
State,,,,,,,,,,,,
,Alabama,"26,421","12,249","13,924",0,3,5,0,0,240,~,0
,Alaska/c,"4,778","1,740",446,121,"1,870",220,/,/,/,42,339
,Arizona,"33,865","12,637","5,187","13,371","1,860",164,0,0,566,25,55
,Arkansas/e,"17,625","9,913","6,954",617,40,56,19,0,26,0,0
,California,"97,608","19,625","27,273","44,402","1,123","1,159",308,~,"3,718",~,0
,Colorado,"17,168","7,989","3,045","5,192",622,184,37,~,35,0,64
,Connecticut,"10,506","3,088","4,356","2,962",43,57,0,0,0,0,0
,Delaware,"4,954","1,617","2,994",332,1,6,0,0,0,4,0
,Florida,"84,678","33,507","39,978","10,793",92,20,11,0,270,7,0
,Georgia/d,"48,439","17,866","28,453","1,994",23,167,0,0,0,15,0
,Hawaii,"4,149",932,192,102,18,633,"1,812",139,0,257,64
,Idaho/f,"9,110","6,687",292,"1,343",341,58,/,/,/,304,85
,Illinois,"29,634","9,687","15,982","3,701",41,101,0,57,/,65,0
,Indiana,"25,286","15,224","7,724",971,48,65,8,188,~,41,"1,017"
,Iowa/g,"8,473","5,303","2,240",638,190,~,~,~,96,6,0
,Kansas,"8,709","4,823","2,338","1,234",225,88,0,0,0,1,0
,"Kentucky/g,h","19,744","14,958","4,135",344,11,0,0,245,31,16,4
,Louisiana,"27,296","9,460","17,714",71,12,35,0,~,2,2,0
,Maine,"1,675","1,333",178,~,64,9,1,25,/,53,12
,Maryland/i,"15,637","3,469","11,136",765,70,52,17,/,106,22,0
,"Massachusetts/c,j","6,001","2,422","1,739","1,576",42,101,~,~,~,121,0
,Michigan/i,"32,374","13,300","15,750",771,422,108,28,"1,224",0,771,0
,Minnesota,"8,636","4,006","3,136",445,824,211,/,/,/,14,0
,Mississippi,"19,802","7,795","11,716",206,37,38,0,0,0,10,0
,Missouri,"23,911","15,107","7,735",559,92,50,/,/,/,52,316
,Montana/g,"4,691","3,217",112,158,"1,193",~,~,~,11,0,0
,Nebraska,"5,649","2,795","1,600",860,276,47,5,/,63,3,0
,Nevada,"10,304","3,810","3,200","2,715",236,213,121,0,0,9,0
,New Hampshire,"2,086","1,714",154,134,8,4,0,~,43,29,0
,New Jersey,"12,657","2,888","7,738","1,877",6,99,0,/,0,49,0
,New Mexico/d,"4,970","1,331",343,"3,092",482,9,23,0,0,40,0
,New York,"31,148","7,142","15,325","7,417",329,216,/,/,518,201,0
,North Carolina,"29,627","12,186","14,783","1,792",582,94,~,~,~,190,0
,North Dakota,"1,817",983,223,110,490,6,5,~,~,~,0
,Ohio/k,"45,313","22,328","19,617","1,161",87,82,/,/,483,/,"1,555"
,Oklahoma,"22,941","11,336","6,282","1,911","1,943",88,30,~,67,53,"1,231"
,Oregon,"12,518","9,218","1,099","1,610",371,182,34,~,~,4,0
,Pennsylvania/i,"37,910","19,813","17,841",/,28,169,~,0,0,59,0
,"Rhode Island/d,f,i","2,393",900,728,677,22,32,/,/,43,1,0
,South Carolina/l,"16,318","6,271","9,457",444,25,23,0,/,98,0,0
,South Dakota/l,"3,444","1,729",273,135,"1,271",18,5,/,13,0,0
,Tennessee,"23,735","13,255","9,797",573,41,68,/,/,/,1,0
,Texas,"139,631","46,995","45,034","46,789",66,557,0,0,190,0,0
,Utah,"6,009","3,454",479,"1,253",347,64,161,0,0,251,0
,Vermont,"1,360","1,136",152,0,18,4,1,0,42,7,0
,Virginia/c,"27,162","11,573","14,460",957,32,120,0,0,~,20,0
