Bureau of Justice Statistics,,
Filename: p22stf01.csv,,
"Figure 1. Total and sentenced prisoners under the jurisdiction of state or federal correctional authorities, 2012–2022",,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2012–2022",,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,
Date of version: 11/30/23,,
,,
"Figure 1. Total and sentenced prisoners under the jurisdiction of state or federal correctional authorities, 2012–2022",,
Year,Total,Sentenced
2012,"1,570,397","1,512,430"
2013,"1,576,950","1,520,403"
2014,"1,562,319","1,507,781"
2015,"1,526,603","1,476,847"
2016,"1,508,129","1,459,948"
2017,"1,489,189","1,439,877"
2018,"1,464,385","1,413,370"
2019,"1,430,165","1,379,786"
2020,"1,221,164","1,185,733"
2021,"1,205,087","1,165,736"
2022,"1,230,143","1,185,648"
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are for December 31 of each year and are based on prisoners with any sentence status (total) and those sentenced to more than one year (sentenced). See Tables 1 and 3 for counts.",,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2012–2022.",,
