Bureau of Justice Statistics,,
Filename: p22stf02.csv,,
"Figure 2. Percent change in the number of persons under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2021–2022",,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2021–2022",,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,
Date of version: 11/30/23,,
,,
"Figure 2. Percent change in the number of persons under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2021–2022",,
Jurisdiction,Percent change in prison population,
Virginia,-10.5,%
Oregon,-5.2,
California,-3.8,
New Mexico,-3.6,
Massachusetts,-2.4,
New Hampshire,-1.9,
Iowa,-1.0,
Arizona,-0.1,
West Virginia,0.4,
Michigan,0.6,
Ohio,0.6,
Washington,0.7,
Nebraska,0.9,
Nevada,1.0,
Hawaii*,1.1,
New Jersey,1.2,
Indiana,1.3,
BOP,1.3,
Wyoming,1.5,
Utah,1.7,
Pennsylvania,1.9,
Missouri,2.1,
North Carolina,2.2,
Kansas,2.2,
Illinois,2.3,
Idaho,2.3,
Oklahoma,2.5,
New York,2.7,
South Dakota,2.7,
Delaware*,3.0,
Alaska*,3.0,
Georgia,3.0,
Wisconsin,3.3,
Maryland,3.3,
Arkansas,3.5,
South Carolina,3.5,
Texas,4.4,
Louisiana,4.7,
Florida,5.3,
Alabama,5.5,
Vermont*,5.7,
Maine,6.2,
Connecticut*,6.2,
Kentucky,6.4,
Rhode Island*,6.9,
North Dakota,7.6,
Minnesota,7.9,
Tennessee,7.9,
Colorado,8.2,
Montana,8.8,
Mississippi,14.3,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Estimates show the percent change in the total number of prisoners with any sentence status on December 31, 2021 and December 31, 2022. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons (BOP). See table 2 for counts. ",,
*Prisons and jails form one integrated system. Data include total jail and prison populations. ,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2021–2022.",,
