Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,
Filename: p22stt02.csv,,,,,,,,,,,,,,,,,,,
"Table 2. Prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2021 and 2022",,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2021 and 2022",,,,,,,,,,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Table 2. Prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2021 and 2022",,,,,,,,,,,,,,,,,,,
,,2021,,,,2022,,,,"Change, 2021–2022",,,,"Percent change, 2021–2022",,,,,
Jurisdiction,,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,Total,,Male,,Female,
,U.S. total,"1,205,087","1,121,436","83,651",,"1,230,143","1,142,359","87,784",,"25,056","20,923","4,133",,2.1,%,1.9,%,4.9,%
Federal/a,,"157,314","146,365","10,949",,"159,309","148,182","11,127",,"1,995","1,817",178,,1.3,%,1.2,%,1.6,%
State,,"1,047,773","975,071","72,702",,"1,070,834","994,177","76,657",,"23,061","19,106","3,955",,2.2,%,2,%,5.4,%
,Alabama,"25,032","22,915","2,117",,"26,421","24,053","2,368",,"1,389","1,138",251,,5.5,,5,,11.9,
,Alaska/b,"4,639","4,197",442,,"4,778","4,322",456,,139,125,14,,3,,3,,3.2,
,Arizona,"33,914","30,794","3,120",,"33,865","30,748","3,117",,-49,-46,-3,,-0.1,,-0.1,,-0.1,
,Arkansas,"17,022","15,592","1,430",,"17,625","16,216","1,409",,603,624,-21,,3.5,,4,,-1.5,
,California,"101,441","97,525","3,916",,"97,608","93,876","3,732",,"-3,833","-3,649",-184,,-3.8,,-3.7,,-4.7,
,Colorado,"15,865","14,599","1,266",,"17,168","15,766","1,402",,"1,303","1,167",136,,8.2,,8,,10.7,
,Connecticut/b,"9,889","9,254",635,,"10,506","9,719",787,,617,465,152,,6.2,,5,,23.9,
,Delaware/b,"4,810","4,568",242,,"4,954","4,641",313,,144,73,71,,3,,1.6,,29.3,
,Florida,"80,417","75,404","5,013",,"84,678","79,154","5,524",,"4,261","3,750",511,,5.3,,5,,10.2,
,Georgia,"47,010","43,942","3,068",,"48,439","45,121","3,318",,"1,429","1,179",250,,3,,2.7,,8.1,
,Hawaii/b,"4,102","3,669",433,,"4,149","3,711",438,,47,42,5,,1.1,,1.1,,1.2,
,Idaho,"8,907","7,668","1,239",,"9,110","7,814","1,296",,203,146,57,,2.3,,1.9,,4.6,
,Illinois/c,"28,980","27,670","1,310",,"29,634","28,163","1,471",,654,493,161,,2.3,,1.8,,12.3,
,Indiana/c,"24,972","22,352","2,620",,"25,286","22,756","2,530",,314,404,-90,,1.3,,1.8,,-3.4,
,Iowa,"8,562","7,859",703,,"8,473","7,755",718,,-89,-104,15,,-1,,-1.3,,2.1,
,Kansas,"8,521","7,793",728,,"8,709","7,974",735,,188,181,7,,2.2,,2.3,,1,
,Kentucky,"18,560","16,493","2,067",,"19,744","17,461","2,283",,"1,184",968,216,,6.4,,5.9,,10.4,
,Louisiana,"26,074","24,849","1,225",,"27,296","25,860","1,436",,"1,222","1,011",211,,4.7,,4.1,,17.2,
,Maine,"1,577","1,466",111,,"1,675","1,521",154,,98,55,43,,6.2,,3.8,,38.7,
,Maryland,"15,134","14,616",518,,"15,637","15,086",551,,503,470,33,,3.3,,3.2,,6.4,
,Massachusetts,"6,148","5,949",199,,"6,001","5,777",224,,-147,-172,25,,-2.4,,-2.9,,12.6,
,Michigan,"32,186","30,621","1,565",,"32,374","30,708","1,666",,188,87,101,,0.6,,0.3,,6.5,
,Minnesota,"8,003","7,546",457,,"8,636","8,075",561,,633,529,104,,7.9,,7,,22.8,
,Mississippi,"17,332","16,116","1,216",,"19,802","18,208","1,594",,"2,470","2,092",378,,14.3,,13,,31.1,
,Missouri/d,"23,422","21,370","2,052",,"23,911","21,724","2,187",,489,354,135,,2.1,,1.7,,6.6,
,Montana,"4,313","3,702",611,,"4,691","4,026",665,,378,324,54,,8.8,,8.8,,8.8,
