Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,
Filename: p22stt04.csv,,,,,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2021 and 2022",,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2021 and 2022",,,,,,,,,,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2021 and 2022",,,,,,,,,,,,,,,,,,,
,,2021,,,,2022,,,,"Change, 2021–2022",,,,"Percent change, 2021–2022",,,,,
Jurisdiction,,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,Total,,Male,,Female,
,U.S. total,"1,165,736","1,086,337","79,399",,"1,185,648","1,103,170","82,478",,"19,912","16,833","3,079",,1.7,%,1.5,%,3.9,%
Federal/a,,"144,448","134,302","10,146",,"146,108","135,896","10,212",,"1,660","1,594",66,,1.1,%,1.2,%,0.7,%
State,,"1,021,288","952,035","69,253",,"1,039,540","967,274","72,266",,"18,252","15,239","3,013",,1.8,%,1.6,%,4.4,%
,Alabama,"19,411","18,176","1,235",,"19,877","18,545","1,332",,466,369,97,,2.4,,2,,7.9,
,Alaska/b,"1,563","1,478",85,,"1,505","1,430",75,,-58,-48,-10,,-3.7,,-3.2,,-11.8,
,Arizona,"33,227","30,248","2,979",,"33,029","30,089","2,940",,-198,-159,-39,,-0.6,,-0.5,,-1.3,
,Arkansas,"16,977","15,555","1,422",,"17,544","16,147","1,397",,567,592,-25,,3.3,,3.8,,-1.8,
,California,"101,389","97,474","3,915",,"97,483","93,761","3,722",,"-3,906","-3,713",-193,,-3.9,,-3.8,,-4.9,
,Colorado,"15,783","14,518","1,265",,"16,894","15,530","1,364",,"1,111","1,012",99,,7,,7,,7.8,
