Bureau of Justice Statistics,,,,,,,,,,
Filename: p22stt08.csv,,,,,,,,,,
"Table 8. Admissions of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2021 and 2022",,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2021 and 2022",,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,
,,,,,,,,,,
"Table 8. Admissions of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2021 and 2022",,,,,,,,,,
Jurisdiction,,2021 total ,2022 total ,"Change, 2021–2022","Percent change, 2021–2022",,2021 new court commitments,2022 new court commitments,2021 conditional supervision violations/a,2022 conditional supervision violations/a
,U.S. total/b,"421,006","469,217","48,211",11.5,%,"297,582","346,518","114,649","112,045"
Federal/c,,"42,174","44,873","2,699",6.4,%,"35,985","38,440","6,189","6,433"
State/b,,"378,832","424,344","45,512",12,%,"261,597","308,078","108,460","105,612"
,Alabama/d,"8,597","9,515",918,10.7,,"6,218","7,363",651,496
,Alaska/e,"1,457","1,521",64,4.4,,"1,388","1,449",69,72
,Arizona,"9,706","11,638","1,932",19.9,,"7,266","9,065","2,375","2,488"
,Arkansas,"8,736","8,234",-502,-5.7,,"3,407","4,182","5,329","4,052"
,California,"25,834","28,207","2,373",9.2,,"22,112","24,341","3,722","3,866"
,Colorado/d,"5,623","6,547",924,16.4,,"4,159","4,864","1,463","1,683"
,Connecticut/e,"2,142","3,264","1,122",52.4,,"1,822","2,924",310,336
,Delaware/e,"1,302","2,064",762,58.5,,985,"1,694",307,357
,Florida/f,"23,169","28,244","5,075",21.9,,"22,675","27,675",64,86
,Georgia,"13,038","14,370","1,332",10.2,,"11,166","12,905","1,872","1,464"
,Hawaii/e,"1,128","1,089",-39,-3.5,,629,623,499,466
,Idaho,"3,609","3,632",23,0.6,,"2,487","2,732","1,122",900
,"Illinois/d,g","15,368","18,092","2,724",17.7,,"11,298","13,394","4,042","4,644"
,Indiana,"6,644","9,207","2,563",38.6,,"5,890","8,136",719,"1,037"
,Iowa,"3,463","3,573",110,3.2,,"2,388","2,656","1,075",917
,Kansas,"3,072","3,387",315,10.3,,"2,311","2,580",603,708
,Kentucky,"13,357","15,196","1,839",13.8,,"8,555","10,377","4,628","4,537"
,Louisiana,"12,025","14,175","2,150",17.9,,"8,651","10,585","3,372","3,476"
,Maine/h,562,916,354,63,,345,544,217,372
,Maryland/i,"4,110","5,149","1,039",25.3,,"3,080","3,942","1,029","1,205"
,Massachusetts,"1,153","1,528",375,32.5,,945,"1,316",196,202
,Michigan,"7,069","8,129","1,060",15,,"3,666","4,924","1,818","1,585"
,Minnesota,"4,235","4,962",727,17.2,,"2,676","3,379","1,559","1,583"
,Mississippi,"5,936","7,027","1,091",18.4,,"4,051","4,516","1,883","2,511"
,Missouri,"12,719","11,511","-1,208",-9.5,,"6,335","6,035","6,384","5,476"
,Montana,"1,894","2,053",159,8.4,,"1,384","1,692",510,360
,Nebraska,"2,220","2,075",-145,-6.5,,"1,767","1,671",448,403
