Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p22stt10.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 10. Percent of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex, race or Hispanic origin, and age, December 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2022 (preliminary); National Corrections Reporting Program, 2021; National Prisoner Statistics, 2022; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 10. Percent of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex, race or Hispanic origin, and age, December 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Male,,,,,,,,,,,,,,Female,,,,,,,,,,,,,
Age,,Total,,All male,,White/a,,Black/a,,Hispanic,,American Indian/Alaska Native/a,,"Asian/a,b",,"Other/a,c",,All female,,White/a,,Black/a,,Hispanic,,American Indian/Alaska Native/a,,"Asian/a,b",,"Other/a,c",
,Total/d,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
18–19,,0.4,,0.4,,0.2,,0.5,,0.4,,0.3,,0.2,,0.2,,0.2,,0.1,,0.5,,0.5,,^,,^,,0.3,
20–24,,6.3,,6.3,,4.2,,7.9,,7.1,,6.5,,4.6,,3.7,,5.8,,4.1,,8.1,,8.4,,5.8,,5,,6.5,
25–29,,12.6,,12.5,,9.4,,14.2,,14.3,,12.4,,12,,9.3,,13.8,,12,,16.3,,16.3,,15.5,,13.7,,14,
30–34,,16.4,,16.1,,14.3,,17.1,,17.4,,17.8,,15.6,,12.9,,19.3,,18.6,,18.9,,20.5,,22.4,,18.8,,13.3,
35–39,,15.6,,15.4,,15.6,,14.7,,16.4,,17.1,,16.8,,13.7,,18.5,,19.4,,15.5,,19.3,,19.5,,17.2,,13.3,
40–44,,14.3,,14.2,,14.6,,13.5,,14.9,,14.5,,15.2,,11.8,,15,,16,,13,,14.3,,14.1,,13.5,,10.3,
45–49,,10.3,,10.3,,10.7,,9.8,,10.7,,10,,12.2,,12.4,,9.5,,10.2,,9.1,,8.6,,8.4,,10.7,,9.2,
50–54,,8.5,,8.6,,10,,8,,7.5,,7.6,,9.2,,9.2,,7.5,,8.3,,7.5,,5.7,,5.4,,7.9,,7.5,
55–59,,6.8,,6.9,,8.3,,6.5,,5.2,,5.9,,6.6,,7.4,,5.2,,5.6,,5.9,,3.5,,4,,5.6,,5.5,
60–64,,4.6,,4.7,,6.1,,4.3,,3.2,,4,,3.8,,6,,2.9,,3.2,,3.3,,1.7,,2.6,,2.7,,7.5,
65 or older,,4.3,,4.5,,6.5,,3.4,,3,,3.9,,3.8,,5.9,,2.2,,2.5,,2,,1.2,,2.2,,4.3,,3.4,
,"Number of sentenced prisoners/d,e","1,185,648",,"1,103,170",,"328,400",,"370,700",,"258,500",,"17,300",,"14,400",,"113,900",,"82,478",,"39,400",,"14,000",,"15,500",,"2,100",,600,,"11,000",
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Percentages and counts are based on prisoners with a sentence of more than 1 year. Federal data include adult prisoners held in nonsecure community corrections facilities and adults and persons age 17 or younger held in privately operated facilities. Details may not sum to totals due to rounding. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^Estimate is based on 10 or fewer prisoners.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes persons of two or more races and other races that are not broken out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d/Includes persons of all ages, including those age 17 or younger.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e/Estimates of race or Hispanic origin are rounded to the nearest 100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2022 (preliminary); National Corrections Reporting Program, 2021; National Prisoner Statistics, 2022; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
