Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p22stt11.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 11. Percent of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or Hispanic origin, and age, December 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Corrections Reporting Program, 2021; National Prisoner Statistics, 2022; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 11. Percent of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or Hispanic origin, and age, December 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Male,,,,,,,,,,,,,,Female,,,,,,,,,,,,,
Age,,Total,,All male,,White/a,,Black/a,,Hispanic,,American Indian/Alaska Native/a,,"Asian/a,b",,"Other/a,c",,All female,,White/a,,Black/a,,Hispanic,,American Indian/Alaska Native/a,,"Asian/a,b",,"Other/a,c",
,Total/d,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
18–19,,0.4,,0.4,,0.2,,0.6,,0.4,,0.4,,0.3,,0.2,,0.3,,0.1,,0.5,,0.5,,^,,^,,0.4,
20–24,,6.7,,6.7,,4.5,,8.4,,7.6,,6.9,,5,,4,,6,,4.3,,8.7,,8.6,,5.6,,5.4,,7.1,
25–29,,12.9,,12.8,,9.8,,14.6,,14.8,,12.5,,12.9,,10.1,,14.1,,12.4,,16.6,,16.6,,15.4,,15,,15.4,
30–34,,16.4,,16.1,,14.5,,16.8,,17.4,,17.7,,16.2,,13.9,,19.6,,18.9,,18.9,,21.2,,22.6,,19.5,,14.7,
35–39,,15.4,,15.1,,15.6,,14.2,,16.1,,16.6,,16.6,,14.8,,18.5,,19.3,,15.5,,20,,19.3,,17.8,,14.7,
40–44,,13.8,,13.8,,14.3,,12.9,,14.3,,14.1,,14.7,,12.7,,14.6,,15.7,,12.7,,13.6,,13.5,,13.2,,11.3,
45–49,,9.9,,10,,10.4,,9.4,,10.2,,9.9,,11.8,,13.4,,9.3,,10,,8.9,,7.9,,8.3,,9.3,,10.2,
50–54,,8.4,,8.5,,9.9,,8,,7.2,,7.9,,8.7,,10,,7.3,,8.1,,7.3,,5.3,,5.5,,7.4,,8.3,
55–59,,6.9,,7,,8.2,,6.8,,5.3,,6,,6.3,,8,,5.2,,5.6,,5.8,,3.4,,4.4,,5.4,,6,
60–64,,4.7,,4.9,,6,,4.5,,3.3,,4.1,,3.8,,6.5,,2.9,,3.1,,3.2,,1.6,,2.7,,2.2,,8.3,
65 or older,,4.5,,4.7,,6.4,,3.6,,3.2,,3.9,,3.8,,6.4,,2.2,,2.4,,1.9,,1.1,,2.5,,4.1,,3.8,
,"Number of sentenced prisoners/d,e","1,039,540",,"967,274",,"297,600",,"325,300",,"212,400",,"14,200",,"12,300",,"105,400",,"72,266",,"35,600",,"12,500",,"11,700",,"1,900",,500,,"10,000",
"Note: Jurisdiction refers to the legal authority of state correctional officials over a prisoner, regardless of where the prisoner is held. Percentages and counts are based on prisoners with a sentence of more than 1 year. Details may not sum to totals due to rounding. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^Estimate is based on 10 or fewer prisoners.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes persons of two or more races and other races that are not broken out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d/Includes persons of all ages, including those age 17 or younger.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e/Estimates of race or Hispanic origin are rounded to the nearest 100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2021; National Prisoner Statistics, 2022; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
