Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p22stt13.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 13. Imprisonment rates of sentenced prisoners under the jurisdiction of state or federal correctional authorities, per 100,000 U.S. residents, by demographic characteristics, December 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2022 (preliminary), National Corrections Reporting Program, 2021, National Prisoner Statistics, 2022, and Survey of Prison Inmates, 2016; and U.S. Census Bureau, postcensal resident population estimates for January 1, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 13. Imprisonment rates of sentenced prisoners under the jurisdiction of state or federal correctional authorities, per 100,000 U.S. residents, by demographic characteristics, December 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Male,,,,,,,Female,,,,,,,,,,,,,,,,,,,,
Age,,Total,All male,White/a,Black/a,Hispanic,American Indian/Alaska Native/a,"Asian/a,b","Other/a,c",All female,White/a,Black/a,Hispanic,American Indian/Alaska Native/a,"Asian/a,b","Other/a,c",,,,,,,,,,,,,,
,Total/d,355,666,337,"1,826",794,"1,443",141,"2,831",49,40,64,49,173,5,269,,,,,,,,,,,,,,
18–19,,50,92,30,340,85,158,13,109,5,2,12,7,8,1,23,,,,,,,,,,,,,,
20–24,,328,600,229,"1,842",663,"1,197",95,"1,064",43,28,73,49,134,4,187,,,,,,,,,,,,,,
25–29,,674,"1,217",514,"3,320","1,462","2,351",225,"3,239",105,83,145,105,372,10,479,,,,,,,,,,,,,,
30–34,,829,"1,498",732,"3,722","1,774","3,171",255,"5,519",138,118,154,136,507,12,531,,,,,,,,,,,,,,
35–39,,832,"1,504",813,"3,828","1,747","3,576",279,"7,843",139,125,145,137,509,11,671,,,,,,,,,,,,,,
40–44,,784,"1,438",776,"3,779","1,634","3,312",275,"7,767",115,105,126,103,395,9,588,,,,,,,,,,,,,,
45–49,,619,"1,154",617,"3,106","1,326","2,550",245,"10,256",80,73,97,67,260,8,654,,,,,,,,,,,,,,
50–54,,486,910,512,"2,446","1,023","1,892",194,"8,231",60,53,77,49,163,6,584,,,,,,,,,,,,,,
55–59,,387,740,407,"2,045",849,"1,453",164,"7,604",41,33,61,34,115,5,487,,,,,,,,,,,,,,
60–64,,258,505,277,"1,406",650,"1,000",106,"6,444",22,17,35,20,70,3,698,,,,,,,,,,,,,,
65 or older,,87,188,106,545,317,417,42,"2,813",6,4,9,6,24,1,130,,,,,,,,,,,,,,
,"Number of sentenced prisoners/d,e ","1,185,648","1,103,170","328,400","370,700","258,500","17,300","14,400","113,900","82,478","39,400","14,000","15,500","2,100",600,"11,000",,,,,,,,,,,,,,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Imprisonment rate is the number of sentenced prisoners under state or federal jurisdiction per 100,000 U.S. residents or per 100,000 U.S. residents in a given category. Rates are based on prisoners with a sentence of more than 1 year. Resident population estimates are from the U.S. Census Bureau for January 1, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes persons of two or more races and other races that are not broken out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d/Includes persons of all ages, including those age 17 or younger.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e/Estimates of race or Hispanic origin are rounded to the nearest 100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2022 (preliminary), National Corrections Reporting Program, 2021, National Prisoner Statistics, 2022, and Survey of Prison Inmates, 2016; and U.S. Census Bureau, postcensal resident population estimates for January 1, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
