Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p22stt14.csv,,,,,,,,,,,,,,,
"Table 14. Prisoners held in the custody of private prisons or local jails under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2021 and 2022",,,,,,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2021 and 2022",,,,,,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 14. Prisoners held in the custody of private prisons or local jails under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2021 and 2022",,,,,,,,,,,,,,,
,,Prisoners held in private prisons/a,,,,,,,Prisoners held in local jails,,,,,,
Jurisdiction,,2021,2022,"Change, 2021–2022","Percent change, 2021–2022",,"Percent of total jurisdiction population, 2022",,2021,2022,"Change, 2021–2022","Percent change, 2021–2022",,"Percent of total jurisdiction population, 2022",
,U.S. total,"96,700","91,320","-5,380",-5.6,%,7.4,%,"65,399","65,573",174,0.3,%,5.3,%
Federal/b,,"21,565","13,834","-7,731",-35.8,%,8.7,%,751,647,-104,-13.8,%,0.4,%
State,,"75,135","77,486","2,351",3.1,%,7.2,%,"64,648","64,926",278,0.4,%,6.1,%
,Alabama,267,253,-14,-5.2,,1,,"2,101","1,721",-380,-18.1,,6.5,
,Alaska/c,250,300,50,20,,6.3,,40,39,-1,-2.5,,0.8,
,Arizona,"7,367","9,738","2,371",32.2,,28.8,,0,0,0,0,,0,
,Arkansas,0,0,0,0,,0,,"2,505","2,231",-274,-10.9,,12.7,
,California,0,0,0,0,,0,,0,0,0,0,,0,
,Colorado,"2,557","2,677",120,4.7,,15.6,,125,281,156,124.8,,1.6,
,Connecticut/c,362,447,85,23.5,,4.3,,0,0,0,0,,0,
,Delaware/c,~,~,:,:,,:,,~,~,:,:,,:,
,Florida,"11,712","11,728",16,0.1,,13.9,,889,830,-59,-6.6,,1,
,Georgia,"7,344","7,284",-60,-0.8,,15,,"4,725","4,726",1,0,,9.8,
,Hawaii/c,"1,114",966,-148,-13.3,,23.3,,0,0,0,0,,0,
,Idaho,876,861,-15,-1.7,,9.5,,509,740,231,45.4,,8.1,
,Illinois,223,335,112,50.2,,1.1,,0,0,0,0,,0,
,Indiana/d,"3,848","3,906",58,1.5,,15.4,,"1,580","1,017",-563,-35.6,,4,
,Iowa,0,0,0,0,,0,,69,72,3,4.3,,0.8,
,Kansas,0,0,0,0,,0,,6,16,10,166.7,,0.2,
,Kentucky,741,814,73,9.9,,4.1,,"8,750","9,346",596,6.8,,47.3,
,Louisiana,0,0,0,0,,0,,"12,843","14,377","1,534",11.9,,52.7,
,Maine,~,~,:,:,,:,,0,0,0,0,,0,
,Maryland,0,0,0,0,,0,,115,137,22,19.1,,0.9,
,Massachusetts,~,~,:,:,,:,,171,128,-43,-25.1,,2.1,
,Michigan,~,~,:,:,,:,,0,0,0,0,,0,
,Minnesota,0,0,0,0,,0,,527,500,-27,-5.1,,5.8,
,Mississippi,"2,241","2,252",11,0.5,,11.4,,"5,818","6,510",692,11.9,,32.9,
,Missouri,0,0,0,0,,0,,0,0,0,0,,0,
,Montana,"2,071","2,319",248,12,,49.4,,330,308,-22,-6.7,,6.6,
,Nebraska,0,0,0,0,,0,,78,78,0,0,,1.4,
,Nevada,0,0,0,0,,0,,7,9,2,28.6,,0.1,
,New Hampshire,~,~,:,:,,:,,57,63,6,10.5,,3,
,New Jersey,665,834,169,25.4,,6.6,,460,771,311,67.6,,6.1,
,New Mexico,"2,269","1,522",-747,-32.9,,30.6,,0,0,0,0,,0,
,New York,0,0,0,0,,0,,0,0,0,0,,0,
,North Carolina,29,29,0,0,,0.1,,~,~,:,:,,:,
,North Dakota,273,292,19,7,,16.1,,32,33,1,3.1,,1.8,
,Ohio,"6,506","6,540",34,0.5,,14.4,,0,0,0,0,,0,
,Oklahoma,"4,728","4,282",-446,-9.4,,18.7,,0,0,0,0,,0,
,Oregon,0,0,0,0,,0,,7,47,40,571.4,,0.4,
,Pennsylvania,405,447,42,10.4,,1.2,,0,0,0,0,,0,
,Rhode Island/c,~,~,:,:,,:,,~,~,:,:,,:,
,South Carolina,82,78,-4,-4.9,,0.5,,280,291,11,3.9,,1.8,
,South Dakota,36,45,9,25,,1.3,,0,7,7,0,,0.2,
,Tennessee,"7,593","6,828",-765,-10.1,,28.8,,"4,097","4,779",682,16.6,,20.1,
,Texas,"9,748","11,030","1,282",13.2,,7.9,,"10,054","10,285",231,2.3,,7.4,
,Utah,0,0,0,0,,0,,"1,445","1,535",90,6.2,,25.5,
,Vermont/c,137,110,-27,-19.7,,8.1,,0,0,0,0,,0,
,Virginia,"1,441","1,278",-163,-11.3,,4.7,,"5,645","3,149","-2,496",-44.2,,11.6,
,Washington,0,0,0,0,,0,,133,138,5,3.8,,1,
,West Virginia,0,0,0,0,,0,,"1,216",740,-476,-39.1,,12.6,
,Wisconsin,~,~,:,:,,:,,25,12,-13,-52,,0.1,
,Wyoming,250,291,41,16.4,,13.5,,9,10,1,11.1,,0.5,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Custody refers to the physical location where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Counts are for December 31 of each year and are based on prisoners with any sentence status. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,,,,
:Not calculated.,,,,,,,,,,,,,,,
~Not applicable.,,,,,,,,,,,,,,,
a/Includes prisoners held in private facilities in the jurisdiction of another state and privately operated community transition centers.,,,,,,,,,,,,,,,
"b/Includes federal prisoners held in nonsecure privately operated facilities (7,605) and prisoners on home confinement (6,229). Excludes persons held in immigration detention facilities pending adjudication.",,,,,,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,,
d/Includes prisoners in facilities owned by the state but staffed by employees of a private correctional company.,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2021 and 2022.",,,,,,,,,,,,,,,
