Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p22stt15.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Prisoners age 17 or younger in the custody of publicly or privately operated state or federal prisons, by jurisdiction, 2021 and 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2021 and 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Prisoners age 17 or younger in the custody of publicly or privately operated state or federal prisons, by jurisdiction, 2021 and 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction,,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U.S. total,292,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal/a,,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,,271,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama,0,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alaska/b,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arizona,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arkansas,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,California,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Colorado,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connecticut/b,41,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delaware/b,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Florida,48,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Georgia,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hawaii/b,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Idaho,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Illinois,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indiana,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iowa,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
