Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: p22stt16.csv,,,,,,,,,,,,,,,,,
"Table 16. Percent of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or Hispanic origin, and most serious offense, December 31, 2021",,,,,,,,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Corrections Reporting Program, 2021; National Prisoner Statistics, 2021; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 16. Percent of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or Hispanic origin, and most serious offense, December 31, 2021",,,,,,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,White/b,,Black/b,,Hispanic,,American Indian/Alaska Native/b,,"Asian/b,c",
,Total,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,62.9,%,64.2,%,45.5,%,54.8,%,68.4,%,71.3,%,59.7,%,64.2,%
,Murder/d,15.2,,15.2,,14.5,,11.5,,18.7,,14.2,,13.5,,16.5,
,Negligent manslaughter,1.8,,1.7,,3.9,,1.7,,1.1,,1.4,,1.5,,1.3,
,Rape/sexual assault,15.7,,16.6,,3.2,,19.8,,9.8,,19.1,,13.9,,15.6,
,Robbery,12,,12.3,,7.3,,6.3,,18.6,,11.9,,7.4,,9.4,
,Aggravated/simple assault,14.4,,14.5,,11.8,,11.8,,15.9,,21,,17.9,,15.9,
,Other,3.9,,3.8,,4.8,,3.7,,4.2,,3.8,,5.5,,5.5,
Property,,13,%,12.6,%,18.6,%,17.9,%,10.4,%,8.5,%,13.5,%,14.9,%
,Burglary,7.3,,7.5,,5.8,,9.1,,6.6,,5.2,,7.4,,6.6,
,Larceny/theft,2.4,,2.2,,5.5,,4,,1.8,,1.1,,1.9,,3,
,Motor vehicle theft,0.7,,0.7,,0.9,,0.9,,0.4,,0.7,,1.2,,2,
,Fraud,1.1,,0.9,,4.3,,1.8,,0.7,,0.5,,1.5,,1.4,
,Other,1.5,,1.4,,2,,2.2,,0.8,,0.9,,1.5,,1.9,
Drug,,12.5,%,11.6,%,24.6,%,15,%,10.2,%,10.1,%,9.3,%,9.3,%
,Possession,3.4,,3,,8.1,,4.9,,2.2,,2.7,,2.2,,1.1,
,Other/e,9.1,,8.6,,16.5,,10.1,,8,,7.3,,7.1,,8.2,
Public order,,11,%,11,%,10.3,%,11.4,%,10.6,%,9.8,%,16.9,%,10.9,%
,Weapons,4,,4.2,,1.4,,2.6,,5.3,,3.4,,4.2,,4.4,
,DUI/DWI,1.5,,1.4,,2.4,,2,,0.6,,2,,4,,1,
,Other/f,5.5,,5.4,,6.5,,6.8,,4.6,,4.3,,8.6,,5.4,
Other/unspecified/g,,0.7,%,0.6,%,1,%,0.9,%,0.5,%,0.3,%,0.6,%,0.7,%
,Number of sentenced prisoners/h,"1,021,288",,"952,035",,"69,253",,"321,700",,"332,000",,"224,300",,"15,600",,"12,500",
"Note: Jurisdiction refers to the legal authority of state correctional officials over a prisoner, regardless of where the prisoner is held. Percentages and counts are based on persons with a sentence of more than 1 year in prison. Details may not sum to totals due to rounding and missing offense data. See Methodology.",,,,,,,,,,,,,,,,,
a/Includes persons of two or more races and other races that are not broken out.,,,,,,,,,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons).",,,,,,,,,,,,,,,,,
"c/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,
d/Includes nonnegligent manslaughter.,,,,,,,,,,,,,,,,,
"e/Includes trafficking, other drug offenses, and unspecified drug offenses.",,,,,,,,,,,,,,,,,
"f/Includes court offenses; commercialized vice, morals, and decency offenses; liquor law violations; probation and parole violations; and other public order offenses.",,,,,,,,,,,,,,,,,
g/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,,,
h/Estimates for race or Hispanic origin are rounded to the nearest 100.,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2021; National Prisoner Statistics, 2021; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,
