Bureau of Justice Statistics,,,,,,,,,
Filename: p22stt17.csv,,,,,,,,,
"Table 17. Number of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or Hispanic origin, and most serious offense, December 31, 2021",,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Corrections Reporting Program, 2021; National Prisoner Statistics, 2021; and Survey of Prison Inmates, 2016",,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,
,,,,,,,,,
"Table 17. Number of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or Hispanic origin, and most serious offense, December 31, 2021",,,,,,,,,
Most serious offense,,All prisoners/a,Male,Female,White/b,Black/b,Hispanic,American Indian/Alaska Native/b,"Asian/b,c"
,Total,"1,021,288","952,035","69,253","321,700","332,000","224,300","15,600","12,500"
Violent,,"642,526","610,955","31,493","176,400","227,000","160,100","9,300","8,000"
,Murder/d,"155,115","145,083","10,029","36,900","62,200","31,900","2,100","2,100"
,Negligent manslaughter,"18,776","16,096","2,689","5,500","3,700","3,100",200,200
,Rape/sexual assault,"160,322","158,054","2,211","63,600","32,500","42,800","2,200","2,000"
,Robbery,"122,356","117,287","5,048","20,400","61,800","26,600","1,200","1,200"
,Aggravated/simple assault,"146,597","138,403","8,183","38,000","52,800","47,100","2,800","2,000"
,Other,"39,361","36,032","3,333","12,000","14,000","8,600",800,700
Property,,"132,804","119,944","12,885","57,600","34,400","19,000","2,100","1,900"
,Burglary,"75,040","70,991","4,042","29,200","22,000","11,700","1,200",800
,Larceny/theft,"24,504","20,727","3,790","12,800","5,900","2,500",300,400
,Motor vehicle theft,"7,097","6,444",655,"2,700","1,500","1,700",200,200
,Fraud,"11,190","8,222","2,982","5,800","2,300","1,200",200,200
,Other,"14,973","13,560","1,416","7,000","2,700","2,000",200,200
Drug,,"127,348","110,386","17,016","48,200","33,900","22,600","1,400","1,200"
,Possession,"34,382","28,800","5,604","15,800","7,400","6,100",300,100
,Other/e,"92,965","81,586","11,412","32,400","26,600","16,500","1,100","1,000"
Public order,,"111,881","104,739","7,140","36,800","35,200","21,900","2,600","1,400"
,Weapons,"41,046","40,047",987,"8,300","17,700","7,700",700,600
,DUI/DWI,"15,082","13,433","1,653","6,500","2,100","4,500",600,100
,Other/f,"55,754","51,259","4,500","22,000","15,400","9,700","1,300",700
Other/unspecified/g,,"6,729","6,011",720,"2,800","1,500",700,100,100
"Note: Jurisdiction refers to the legal authority of state correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on persons with a sentence of more than 1 year in prison and are rounded to the nearest 100. Details may not sum to totals due to rounding and missing offense data. See Methodology.",,,,,,,,,
a/Includes persons of two or more races and other races that are not broken out.,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons).",,,,,,,,,
"c/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,
d/Includes nonnegligent manslaughter.,,,,,,,,,
"e/Includes trafficking, other drug offenses, and unspecified drug offenses.",,,,,,,,,
"f/Includes court offenses; commercialized vice, morals, and decency offenses; liquor law violations; probation and parole violations; and other public order offenses.",,,,,,,,,
g/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2021; National Prisoner Statistics, 2021; and Survey of Prison Inmates, 2016.",,,,,,,,,
