Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p22stt18.csv,,,,,,,,,,,,,
"Table 18. Sentenced prisoners in the custody of state correctional authorities and privately operated facilities contracted to states, by most serious offense and jurisdiction, December 31, 2021",,,,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Corrections Reporting Program, 2021",,,,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 18. Sentenced prisoners in the custody of state correctional authorities and privately operated facilities contracted to states, by most serious offense and jurisdiction, December 31, 2021",,,,,,,,,,,,,
Jurisdiction,Total number of sentenced prisoners in custody,Total/a,,Violent,,Property,,Drug,,Public order,,Other/unspecified,
Alabama,"21,413",100,%,61.3,%,16.1,%,13.7,%,7.8,%,1.1,%
Alaska/b,"2,156",100,,82.1,,11.5,,2.1,,4.3,,#,
Arizona/c,"40,753",100,,43.8,,20.8,,23.1,,12,,0.2,
Arkansas,"14,556",100,,59.5,,12.7,,16.9,,8.3,,2.7,
California,"100,305",100,,81.7,,7.7,,2.4,,7.8,,0.1,
Colorado,"15,773",100,,64.7,,16.9,,7,,11.3,,0.2,
Connecticut/b,"5,174",100,,55.8,,10.8,,5.7,,19.5,,8.2,
Delaware/b,"2,565",100,,52.9,,5.6,,7.6,,33.5,,0.4,
Florida,"78,740",100,,61.4,,17.3,,11.3,,9.5,,0.5,
Georgia,"46,687",100,,68.8,,12,,9.8,,8.7,,0.2,
Hawaii/b,"2,527",100,,48.6,,27.9,,10.6,,12.8,,0.1,
Idaho,"8,705",100,,42.6,,17.5,,29.9,,9.8,,0.1,
Illinois,"28,162",100,,65.4,,9.4,,9.8,,15.2,,#,
Indiana,"26,403",100,,46.9,,13.7,,24.7,,12.5,,2.2,
Iowa,"9,749",100,,32.4,,19.2,,15.9,,13.5,,16,
Kansas,"8,453",100,,61.5,,9.3,,22.5,,6.2,,0.1,
Kentucky,"18,682",100,,43,,19.3,,24.9,,12,,0.1,
Louisiana,"26,287",100,,58.2,,12.7,,13.2,,15.2,,#,
Maine,"1,526",100,,55.1,,13.4,,23.1,,5.6,,1.5,
Maryland,"15,309",100,,73.6,,8.7,,8.8,,8.2,,0.1,
Massachusetts,"6,623",100,,72.5,,5.7,,14.8,,6.2,,0.6,
Michigan/c,"39,670",100,,61.1,,15.8,,9.5,,13.2,,0.3,
Minnesota,"7,658",100,,57.2,,8.1,,16.4,,18.2,,0.1,
Mississippi,"16,873",100,,55.5,,18.7,,17.2,,7.3,,1.2,
Missouri,"23,432",100,,58.5,,16.6,,16.6,,8.1,,#,
Montana,"2,657",100,,66.4,,13.3,,9.6,,10.2,,0.1,
Nebraska,"5,195",100,,54.2,,12.9,,15.2,,16.8,,0.6,
