Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: p22stt19.csv,,,,,,,,,,,,,,,,,
"Table 19. Percent of sentenced federal prisoners held in BOP or privately operated correctional facilities, by sex, race or Hispanic origin, and most serious offense, September 30, 2022",,,,,,,,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2022 (preliminary)",,,,,,,,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 19. Percent of sentenced federal prisoners held in BOP or privately operated correctional facilities, by sex, race or Hispanic origin, and most serious offense, September 30, 2022",,,,,,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,"White/b,c",,"Black/b,c",,Hispanic/c,,"American Indian/Alaska Native/b,c",,"Asian/b,c,d",
,Total,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,7.3,%,7.5,%,4.2,%,5.7,%,8.9,%,2.9,%,56.3,%,5.7,%
,Homicide/e,1.7,,1.7,,1.3,,0.7,,2.4,,0.4,,18,,1.4,
,Robbery,2.8,,3,,1,,2.7,,4.4,,1.1,,2.6,,1.7,
,Sexual abuse,1.1,,1.1,,0.2,,1.1,,0.4,,0.4,,18.8,,0.8,
,Other,1.7,,1.7,,1.8,,1.2,,1.7,,1.1,,16.9,,1.8,
Property,,3.8,%,3.4,%,9.1,%,5,%,4,%,2.1,%,2.8,%,11,%
,Burglary,0.2,,0.2,,0.1,,0.1,,0.3,,0,,0.9,,0.1,
,Fraud/f,2.8,,2.5,,7.7,,3.7,,3,,1.7,,0.4,,9.3,
,Other/g,0.8,,0.8,,1.3,,1.2,,0.7,,0.4,,1.6,,1.6,
Drug/h,,45.9,%,44.6,%,64.6,%,40.5,%,40.5,%,60.5,%,17.2,%,46,%
Public order,,42.7,%,44.3,%,21.8,%,48.4,%,46.3,%,34.4,%,23.3,%,36.9,%
,Immigration/i,4.5,,4.6,,3.2,,0.5,,0.4,,14.1,,0.5,,0.3,
,Weapons,20.9,,22,,5.7,,15,,35,,10.6,,13.7,,12.2,
,Other/j,17.3,,17.7,,12.9,,32.9,,11,,9.8,,9.1,,24.3,
Other/unspecified/k,,0.3,%,0.3,%,0.3,%,0.4,%,0.2,%,0.2,%,0.3,%,0.5,%
,Number of sentenced prisoners/l,"143,644",,"133,862",,"9,782",,"43,200",,"52,500",,"42,600",,"3,500",,"1,900",
"Note: Percentages and counts are based on prisoners who were convicted, sentenced to 1 year or more, and in the custody of Federal Bureau of Prisons (BOP) facilities or private prisons under contract with the BOP on September 30, 2022. Details may not sum to totals due to rounding. See Methodology. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the BOP.",,,,,,,,,,,,,,,,,
a/Includes persons of two or more races or other races that are not broken out.,,,,,,,,,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons).",,,,,,,,,,,,,,,,,
c/Data on race or Hispanic origin are based on administrative data and self-reports from BJS surveys.,,,,,,,,,,,,,,,,,
"d/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,
e/Includes murder and both negligent and nonnegligent manslaughter.,,,,,,,,,,,,,,,,,
"f/Includes embezzlement, fraud, forgery, and counterfeiting.",,,,,,,,,,,,,,,,,
"g/Includes larceny, motor vehicle theft, arson and explosives, transportation of stolen property, and other property offenses.",,,,,,,,,,,,,,,,,
"h/Includes trafficking, possession, and other drug offenses.",,,,,,,,,,,,,,,,,
"i/Includes illegal entry, smuggling and importing non-U.S. citizens, and holds for immigration officials.",,,,,,,,,,,,,,,,,
"j/Includes regulatory offenses; tax law violations; bribery; perjury, contempt, and intimidation in U.S. courts; national defense offenses; escape; racketeering and extortion; gambling; sexual offenses, excluding sexual abuse; offenses involving liquor, traffic, wildlife, and environmental matters; and all other public order offenses.",,,,,,,,,,,,,,,,,
k/Includes offenses not classified.,,,,,,,,,,,,,,,,,
l/Estimates of race or Hispanic origin are rounded to the nearest 100.,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2022 (preliminary).",,,,,,,,,,,,,,,,,
