Bureau of Justice Statistics,,,,,,,,,
Filename: p22stt20.csv,,,,,,,,,
"Table 20. Number of sentenced federal prisoners held in BOP or privately operated correctional facilities, by sex, race or Hispanic origin, and most serious offense, September 30, 2022",,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2022 (preliminary)",,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,
,,,,,,,,,
"Table 20. Number of sentenced federal prisoners held in BOP or privately operated correctional facilities, by sex, race or Hispanic origin, and most serious offense, September 30, 2022",,,,,,,,,
Most serious offense,,All prisoners/a,Male,Female,"White/b,c","Black/b,c",Hispanic/c,"American Indian/Alaska Native/b,c","Asian/b,c,d"
,Total/e,"143,644","133,862","9,782","43,200","52,500","42,600","3,500","1,900"
Violent,,"10,435","10,000",400,"2,500","4,700","1,200","2,000",100
,Homicide/f,"2,400","2,300",100,300,"1,300",200,600,#
,Robbery,"4,044","3,900",100,"1,200","2,300",500,100,#
,Sexual abuse,"1,534","1,500",#,500,200,100,700,#
,Other,"2,457","2,300",200,500,900,500,600,#
Property,,"5,466","4,600",900,"2,200","2,100",900,100,200
,Burglary,239,200,#,#,100,#,#,#
,Fraud/g,"4,078","3,300",800,"1,600","1,600",700,#,200
,Other/h,"1,149","1,000",100,500,400,200,#,#
Drug/i,,"65,976","59,700","6,300","17,500","21,300","25,700",600,900
Public order,,"61,394","59,300","2,100","20,900","24,300","14,600",800,700
,Immigration/j,"6,423","6,100",300,200,200,"6,000",#,#
,Weapons,"30,062","29,500",600,"6,500","18,400","4,500",500,200
,Other/k,"24,909","23,700","1,300","14,200","5,800","4,200",300,500
Other/unspecified/l,,373,300,#,200,100,100,#,#
"Note: Counts are based on prisoners who were convicted, sentenced to 1 year or more, and in the custody of Federal Bureau of Prisons (BOP) facilities or private prisons under contract with the BOP on September 30, 2022. Estimates are rounded to the nearest 100. Details may not sum to totals due to rounding. See Methodology. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the BOP.",,,,,,,,,
#Rounds to zero.,,,,,,,,,
a/Includes persons of two or more races or other races that are not broken out.,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons).",,,,,,,,,
c/Data on race or Hispanic origin are based on administrative data and self-reports from BJS surveys.,,,,,,,,,
"d/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,
e/Totals for race or Hispanic origin are rounded to the nearest 100.,,,,,,,,,
f/Includes murder and both negligent and nonnegligent manslaughter.,,,,,,,,,
"g/Includes embezzlement, fraud, forgery, and counterfeiting.",,,,,,,,,
"h/Includes larceny, motor vehicle theft, arson and explosives, transportation of stolen property, and other property offenses.",,,,,,,,,
"i/Includes trafficking, possession, and other drug offenses.",,,,,,,,,
"j/Includes illegal entry, smuggling and importing non-U.S. citizens, and holds for immigration officials.",,,,,,,,,
"k/Includes regulatory offenses; tax law violations; bribery; perjury, contempt, and intimidation in U.S. courts; national defense offenses; escape; racketeering and extortion; gambling; sexual offenses, excluding sexual abuse; offenses involving liquor, traffic, wildlife, and environmental matters; and all other public order offenses.",,,,,,,,,
l/Includes offenses not classified.,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2022 (preliminary).",,,,,,,,,
