Bureau of Justice Statistics,,,,,,,,,
Filename: p22stt22.csv,,,,,,,,,
"Table 22. Citizenship status of prisoners in the custody of publicly or privately operated state or federal prisons, excluding jails, by sex and jurisdiction, December 31, 2022",,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2022",,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,
,,,,,,,,,
"Table 22. Citizenship status of prisoners in the custody of publicly or privately operated state or federal prisons, excluding jails, by sex and jurisdiction, December 31, 2022",,,,,,,,,
,,U.S. citizen prisoners,,,Non-U.S. citizen prisoners,,,,
Jurisdiction,,Total ,Male,Female,Total ,Male,Female,Non-U.S. citizens as a percent of prison population/a ,
"Federal/b,c,d,e",,"133,481","123,305","10,176","24,078","23,190",888,15.1,%
State,,,,,,,,,
,Alabama/f,"16,214","15,437",777,"1,018",960,58,4.9,%
,Alaska/g,/,/,/,/,/,/,:,
,Arizona,"31,384","28,341","3,043","2,424","2,352",72,7.2,
,Arkansas/f,"14,972","13,759","1,213",294,274,20,1.9,
,California,/,/,/,/,/,/,:,
,"Colorado/e,h","11,097","10,370",727,802,779,23,4.7,
,Connecticut/g,"10,051","9,298",753,302,289,13,2.9,
,Delaware/g,"4,362","4,141",221,221,146,75,4.8,
,Florida/d,"78,290","72,967","5,323","4,921","4,793",128,5.9,
,Georgia/c,"44,859","41,855","3,004","2,365","2,254",111,5.4,
,"Hawaii/e,g","2,937","2,669",268,90,83,7,2.2,
,Idaho,"7,613","6,647",966,156,150,6,1.9,
,Illinois/e,"21,333","20,496",837,"1,092","1,064",28,3.7,
,Indiana,"22,438","20,316","2,122",487,477,10,2.1,
,Iowa/f,"8,245","7,536",709,220,211,9,2.7,
,Kansas/e,"8,359","7,636",723,350,338,12,4,
,Kentucky/e,"19,565","17,284","2,281",175,^^,^,0.9,
,Louisiana/e,"26,881","25,458","1,423",301,^^,^,1.1,
,Maine/f,"1,581","1,433",148,24,^^,^,1.5,
,Maryland/f,"10,566","10,155",411,763,748,15,5,
,Massachusetts/f,"5,142","4,957",185,686,670,16,11.9,
,Michigan/f,"32,020","30,354","1,666",354,354,0,1.1,
,Minnesota/f,"7,648","7,115",533,320,312,8,4.1,
,Mississippi/f,"10,334","9,003","1,331",20,^^,^,0.2,
,Missouri/e,"23,413","21,259","2,154",182,^^,^,0.8,
,Montana/e,"4,665","4,003",662,26,^^,^,0.6,
,Nebraska/e,"5,392","5,019",373,257,^^,^,4.5,
,Nevada/f,"9,127","8,356",771,814,789,25,8.1,
,New Hampshire/e,"1,817","1,699",118,63,^^,^,3,
,New Jersey/e,"11,566","11,163",403,"1,003",984,19,7.9,
,New Mexico ,"5,237","4,743",494,120,120,0,2.5,
,New York/f,"28,065","27,024","1,041","1,304","1,283",21,4.2,
,North Carolina,"28,773","26,462","2,311",956,939,17,3.2,
,North Dakota/e,"1,797","1,564",233,20,20,0,1.1,
,Ohio,"42,231","39,942","2,289",427,420,7,0.9,
