Bureau of Justice Statistics,,,,,,,,,,
Filename: p22stt23.csv,,,,,,,,,,
"Table 23. Prisoners under military jurisdiction, by branch of service, 2021 and 2022",,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,
"Data source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2021 and 2022",,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,
,,,,,,,,,,
"Table 23. Prisoners under military jurisdiction, by branch of service, 2021 and 2022",,,,,,,,,,
,,Total population/a,,,,,Sentenced population/b,,,
Jurisdiction,,2021,2022,"Percent change, 2021–2022",,,2021,2022,"Percent change, 2021–2022",
,All prisoners,"1,131","1,105",-2.3,%,,927,918,-1,%
Branch of service,,,,,,,,,,
,U.S. Air Force,214,222,3.7,%,,192,202,5.2,%
,U.S. Army,534,533,-0.2,,,481,470,-2.3,
,U.S. Marine Corps,240,204,-15,,,146,136,-6.8,
,U.S. Navy,135,139,3,,,106,106,0,
,U.S. Coast Guard,^^,7,:,,,^,^,:,
,U.S. Space Force,^,0,:,,,^^,^^,:,
In custody of—,,,,,,,,,,
,U.S. Air Force,15,17,13.3,%,,^,^,:,
,U.S. Army,649,658,1.4,,,614,616,0.3,%
,U.S. Marine Corps,162,125,-22.8,,,^^,^^,:,
,U.S. Navy,305,305,0,,,240,240,0,
Note: Counts are for December 31 of each year.,,,,,,,,,,
:Not calculated. ,,,,,,,,,,
^Four or fewer persons.,,,,,,,,,,
^^Suppressed to protect confidentiality.,,,,,,,,,,
"a/Includes all prisoners under military jurisdiction, regardless of conviction status or sentence length.",,,,,,,,,,
b/Includes prisoners sentenced to more than 1 year under military jurisdiction.,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2021 and 2022.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
