Bureau of Justice Statistics,,,,,,,,,,,
Filename: p22stt24.csv,,,,,,,,,,,
"Table 24. Percent of prisoners under the jurisdiction of military correctional authorities with any sentence length, by branch of service and most serious offense, December 31, 2022",,,,,,,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2022",,,,,,,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,
Date of version: 11/30/23,,,,,,,,,,,
,,,,,,,,,,,
"Table 24. Percent of prisoners under the jurisdiction of military correctional authorities with any sentence length, by branch of service and most serious offense, December 31, 2022",,,,,,,,,,,
Most serious offense,,Total/a,,U.S. Air Force,,U.S. Army,,U.S. Marine Corps,,U.S. Navy,
,Total,100,%,100,%,100,%,100,%,100,%
Violent offenses,,57.3,%,54.2,%,65.4,%,42.2,%,48.7,%
Nonviolent offenses,,42.7,%,45.8,%,34.6,%,57.8,%,51.3,%
,Total,100,%,100,%,100,%,100,%,100,%
Sexual,,74.8,%,77.8,%,74.6,%,70.1,%,76.5,%
,Violent,40.7,,39.2,,46,,27.9,,38.3,
,Nonviolent/b,34.2,,38.7,,28.6,,42.2,,38.3,
Other violent,,16.6,%,15.1,%,19.4,%,14.3,%,10.4,%
,Murder/c,8.4,,7.5,,10.8,,5.2,,4.3,
,Negligent manslaughter,1.1,,1.4,,0,,2.6,,2.6,
,Robbery,0.2,,0,,0.4,,0,,0,
,Aggravated/simple assault,5.7,,4.7,,6.5,,6.5,,3.5,
,Other,1.2,,1.4,,1.8,,0,,0,
Property,,2.5,%,1.4,%,2.5,%,4.5,%,1.7,%
,Burglary,0.2,,0,,0.4,,0,,0,
,Larceny/theft,0.8,,0.9,,0.4,,2.6,,0,
,Motor vehicle theft,0,,0,,0,,0,,0,
,Fraud,0.7,,0.5,,0.6,,1.3,,0.9,
,Other,0.8,,0,,1.2,,0.6,,0.9,
Drug/d,,2.8,%,2.4,%,2,%,5.8,%,3.5,%
Public order,,1,%,1.9,%,0.2,%,0.6,%,3.5,%
Military,,1.9,%,0.9,%,1.4,%,3.9,%,3.5,%
Other/unspecified,,0.3,%,0.5,%,0,%,0.6,%,0.9,%
,Number of prisoners,998,,212,,511,,154,,115,
Note: Percentages and counts are based on prisoners sentenced to any length of time under military correctional authority. Excludes pretrial detainees. U.S. Coast Guard offense distribution is not shown due to a small number of cases. Details may not sum to totals due to rounding.,,,,,,,,,,,
a/Includes prisoners who served in the U.S. Coast Guard and the U.S. Space Force.,,,,,,,,,,,
"b/Includes sexual harassment and misconduct, indecent exposure, prostitution, stalking, and other nonviolent sexual offenses.",,,,,,,,,,,
c/Includes nonnegligent manslaughter.,,,,,,,,,,,
"d/Includes possession, use, trafficking, and other drug offenses.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2022.",,,,,,,,,,,
