Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: pptmcspi16stat02.csv,,,,,,,,,,,,,,,,,
"Appendix table 2. Standard errors for table 4: Age of minor children of parents in state and federal prison at time of interview, by sex of parent, 201",,,,,,,,,,,,,,,,,
"Report title: Parents in Prison and Their Minor Children: Survey of Prison Inmates, 2016   NCJ 252645",,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,
"Authors: Laura M. Maruschak, BJS Statistician, and Jennifer Bronson, Ph.D., and Mariel Alper, Ph.D., former BJS Statisticians",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,
Date of version: 3/30/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Appendix table 2. Standard errors for table 4: Age of minor children of parents in state and federal prison at time of interview, by sex of parent, 2016",,,,,,,,,,,,,,,,,
,Age distribution of minor children with a parent in—,,,,,,,,,,,,,,,,
,State prison,,,,,,,,,Federal prison,,,,,,,
Age of minor children at time of interview (in years),Total,,,Male,,,Female,,,Total,,,Male,,,Female,
Younger than 1,0.14,%,,0.16,%,,0.23,%,,0.08,%,,0.08,%,,0.11,%
 1-4,0.53,,,0.58,,,0.78,,,0.62,,,0.65,,,1.11,
 5-9,0.46,,,0.51,,,0.6,,,0.58,,,0.61,,,1.46,
 10-14,0.51,,,0.56,,,0.72,,,0.81,,,0.86,,,0.96,
15-17,0.54,,,0.59,,,0.66,,,0.76,,,0.8,,,1.08,
Mean age,0.08,years,,0.09,years,,0.1,years,,0.08,years,,0.09,years,,0.13,years
"Source: Bureau of Justice Statistics, Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,
