Bureau of Justice Statistics,
Filename: pptmcspi16stf01.csv,
"Figure 1. Estimated number of all parents in state or federal prison with a minor child and number of minor children, 2016 ",
"Report title: Parents in Prison and Their Minor Children: Survey of Prison Inmates, 2016   NCJ 252645",
"Data source: Bureau of Justice Statistics, Survey of Prison Inmates, 2016",
"Authors: Laura M. Maruschak, BJS Statistician, and Jennifer Bronson, Ph.D., and Mariel Alper, Ph.D., former BJS Statisticians",
Refer questions to: askbjs@usdoj.gov 202-307-0765,
Date of version: 3/30/2021,
,
"Figure 1. Estimated number of all parents in state or federal prison with a minor child and number of minor children, 2016 ",
,Number
Parents in prison with a minor child/a,"684,500"
Fathers,"626,800"
Mothers,"57,700"
Minor children reported by parents in prison/b,"1,473,700"
"Note: See table 1 for counts, percentages, and standard errors. ",
a/Includes prisoners who reported having a biological or adopted child age 17 or younger at the time of the interview.,
b/Includes biological or adopted children age 17 or younger at the time of the interview.,
"Source: Bureau of Justice Statistics, Survey of Prison Inmates, 2016.",
