Bureau of Justice Statistics,,,,,,,,,,,,
Filename: pptmcspi16stt03.csv,,,,,,,,,,,,
"Table 3. Percent of state and federal prisoners with a minor child, by race or ethnicity of prisoner, 2016",,,,,,,,,,,,
"Report title: Parents in Prison and Their Minor Children: Survey of Prison Inmates, 2016   NCJ 252645",,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Prison Inmates, 2016",,,,,,,,,,,,
"Authors: Laura M. Maruschak, BJS Statistician, and Jennifer Bronson, Ph.D., and Mariel Alper, Ph.D., former BJS Statisticians",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 3/30/2021,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 3. Percent of state and federal prisoners with a minor child, by race or ethnicity of prisoner, 2016",,,,,,,,,,,,
,,Male prisoners with a minor child/a,,,,,,Female prisoners with a minor child/a,,,,
Race/ethnicity,,Percent,,,Standard error,,,Percent,,,Standard error,
State prisoners,,,,,,,,,,,,
,White/b*,39.8,% ,,1.03,%,,60.4,% ,,1.4,%
,Black/b,48.5, †,,1.04,,,50.1, †,,2.68,
,Hispanic,51.2, †,,1.22,,,61.8, ,,3.05,
,American Indian/Alaska Native/b,47,,,4.31,,,59.1,,,6.86,
,Asian/Native Hawaiian/Other Pacific Islander/b,35.6,,,6.02,,,48.3,,,11.07,
,Two or more races/b,46.4, †,,1.43,,,55, †,,2.67,
Federal prisoners,,,,,,,,,,,,
,White/b*,33.6,% ,,3.1,%,,49.1,%,,3.24,
,Black/b,63.5, †,,1.57,,,53.8,,,2.5,%
,Hispanic,64.2, †,,1.41,,,67.4, †,,3.4,
,American Indian/Alaska Native/b,56.7, †,,5.62,,,68.4,,,13.78,
,Asian/Native Hawaiian/Other Pacific Islander/b,56.6, †,,5.78,,,45.2, !,,12.7,
,Two or more races/b,52.2, †,,3.56,,,60.9, †,,5.08,
Note: See appendix table 1 for prisoner estimates.  ,,,,,,,,,,,,
*Comparison group.,,,,,,,,,,,,
†Difference with the comparison group is significant at the 95% confidence level. ,,,,,,,,,,,,
"! Interpret with caution. Estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%.",,,,,,,,,,,,
a/Includes prisoners who reported having a biological or adopted child age 17 or younger at the time of the interview. ,,,,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Prison Inmates, 2016.",,,,,,,,,,,,
