"data_year","offense","age","count","sex","state"
2022,"all","15",57,"female","AK"
2022,"all","16",92,"female","AK"
2022,"all","17",99,"female","AK"
2022,"all","18",96,"female","AK"
2022,"all","19",123,"female","AK"
2022,"all","20",133,"female","AK"
2022,"all","21",152,"female","AK"
2022,"all","22",155,"female","AK"
2022,"all","23",160,"female","AK"
2022,"all","24",167,"female","AK"
2022,"all","10-12",28,"female","AK"
2022,"all","13-14",129,"female","AK"
2022,"all","25-29",928,"female","AK"
2022,"all","30-34",1078,"female","AK"
2022,"all","35-39",924,"female","AK"
2022,"all","40-44",625,"female","AK"
2022,"all","45-49",378,"female","AK"
2022,"all","50-54",258,"female","AK"
2022,"all","55-59",188,"female","AK"
2022,"all","60-64",125,"female","AK"
2022,"all","65 and over",95,"female","AK"
2022,"all","Under 10",0,"female","AK"
