"data_year","offense","age","count","sex","state"
2022,"all","15",146,"male","AK"
2022,"all","16",146,"male","AK"
2022,"all","17",157,"male","AK"
2022,"all","18",201,"male","AK"
2022,"all","19",275,"male","AK"
2022,"all","20",265,"male","AK"
2022,"all","21",321,"male","AK"
2022,"all","22",361,"male","AK"
2022,"all","23",382,"male","AK"
2022,"all","24",389,"male","AK"
2022,"all","10-12",87,"male","AK"
2022,"all","13-14",230,"male","AK"
2022,"all","25-29",2144,"male","AK"
2022,"all","30-34",2533,"male","AK"
2022,"all","35-39",2199,"male","AK"
2022,"all","40-44",1730,"male","AK"
2022,"all","45-49",1119,"male","AK"
2022,"all","50-54",786,"male","AK"
2022,"all","55-59",805,"male","AK"
2022,"all","60-64",500,"male","AK"
2022,"all","65 and over",465,"male","AK"
2022,"all","Under 10",9,"male","AK"
