"data_year","offense","age","count","sex","state"
2022,"all","15",147,"female","AL"
2022,"all","16",198,"female","AL"
2022,"all","17",240,"female","AL"
2022,"all","18",496,"female","AL"
2022,"all","19",651,"female","AL"
2022,"all","20",769,"female","AL"
2022,"all","21",864,"female","AL"
2022,"all","22",913,"female","AL"
2022,"all","23",976,"female","AL"
2022,"all","24",1001,"female","AL"
2022,"all","10-12",29,"female","AL"
2022,"all","13-14",191,"female","AL"
2022,"all","25-29",5319,"female","AL"
2022,"all","30-34",5924,"female","AL"
2022,"all","35-39",5573,"female","AL"
2022,"all","40-44",4447,"female","AL"
2022,"all","45-49",2831,"female","AL"
2022,"all","50-54",1955,"female","AL"
2022,"all","55-59",1188,"female","AL"
2022,"all","60-64",678,"female","AL"
2022,"all","65 and over",377,"female","AL"
2022,"all","Under 10",3,"female","AL"
