"data_year","offense","age","count","sex","state"
2022,"all","15",493,"female","AR"
2022,"all","16",514,"female","AR"
2022,"all","17",451,"female","AR"
2022,"all","18",505,"female","AR"
2022,"all","19",601,"female","AR"
2022,"all","20",693,"female","AR"
2022,"all","21",759,"female","AR"
2022,"all","22",826,"female","AR"
2022,"all","23",872,"female","AR"
2022,"all","24",823,"female","AR"
2022,"all","10-12",234,"female","AR"
2022,"all","13-14",816,"female","AR"
2022,"all","25-29",4575,"female","AR"
2022,"all","30-34",4863,"female","AR"
2022,"all","35-39",4498,"female","AR"
2022,"all","40-44",3757,"female","AR"
2022,"all","45-49",2256,"female","AR"
2022,"all","50-54",1615,"female","AR"
2022,"all","55-59",1069,"female","AR"
2022,"all","60-64",572,"female","AR"
2022,"all","65 and over",382,"female","AR"
2022,"all","Under 10",3,"female","AR"
