"data_year","offense","age","count","sex","state"
2022,"all","15",1082,"male","AR"
2022,"all","16",1105,"male","AR"
2022,"all","17",1171,"male","AR"
2022,"all","18",1499,"male","AR"
2022,"all","19",1730,"male","AR"
2022,"all","20",1725,"male","AR"
2022,"all","21",1886,"male","AR"
2022,"all","22",1924,"male","AR"
2022,"all","23",1861,"male","AR"
2022,"all","24",1862,"male","AR"
2022,"all","10-12",398,"male","AR"
2022,"all","13-14",1227,"male","AR"
2022,"all","25-29",9896,"male","AR"
2022,"all","30-34",10466,"male","AR"
2022,"all","35-39",9366,"male","AR"
2022,"all","40-44",7891,"male","AR"
2022,"all","45-49",5189,"male","AR"
2022,"all","50-54",4093,"male","AR"
2022,"all","55-59",3044,"male","AR"
2022,"all","60-64",1940,"male","AR"
2022,"all","65 and over",1208,"male","AR"
2022,"all","Under 10",5,"male","AR"
