"data_year","offense","age","count","sex","state"
2022,"all","15",882,"female","AZ"
2022,"all","16",910,"female","AZ"
2022,"all","17",830,"female","AZ"
2022,"all","18",1002,"female","AZ"
2022,"all","19",1073,"female","AZ"
2022,"all","20",1137,"female","AZ"
2022,"all","21",1264,"female","AZ"
2022,"all","22",1406,"female","AZ"
2022,"all","23",1395,"female","AZ"
2022,"all","24",1457,"female","AZ"
2022,"all","10-12",340,"female","AZ"
2022,"all","13-14",1193,"female","AZ"
2022,"all","25-29",7857,"female","AZ"
2022,"all","30-34",8758,"female","AZ"
2022,"all","35-39",6664,"female","AZ"
2022,"all","40-44",5084,"female","AZ"
2022,"all","45-49",2884,"female","AZ"
2022,"all","50-54",2269,"female","AZ"
2022,"all","55-59",1519,"female","AZ"
2022,"all","60-64",809,"female","AZ"
2022,"all","65 and over",721,"female","AZ"
2022,"all","Under 10",20,"female","AZ"
