"data_year","offense","age","count","sex","state"
2022,"all","15",1675,"male","AZ"
2022,"all","16",2011,"male","AZ"
2022,"all","17",1906,"male","AZ"
2022,"all","18",2538,"male","AZ"
2022,"all","19",2819,"male","AZ"
2022,"all","20",2741,"male","AZ"
2022,"all","21",3349,"male","AZ"
2022,"all","22",3443,"male","AZ"
2022,"all","23",3469,"male","AZ"
2022,"all","24",3652,"male","AZ"
2022,"all","10-12",698,"male","AZ"
2022,"all","13-14",2143,"male","AZ"
2022,"all","25-29",21444,"male","AZ"
2022,"all","30-34",22993,"male","AZ"
2022,"all","35-39",17652,"male","AZ"
2022,"all","40-44",13211,"male","AZ"
2022,"all","45-49",8568,"male","AZ"
2022,"all","50-54",6707,"male","AZ"
2022,"all","55-59",5073,"male","AZ"
2022,"all","60-64",3327,"male","AZ"
2022,"all","65 and over",2527,"male","AZ"
2022,"all","Under 10",90,"male","AZ"
