"data_year","offense","age","count","sex","state"
2022,"all","15",1526,"female","CA"
2022,"all","16",1552,"female","CA"
2022,"all","17",1424,"female","CA"
2022,"all","18",1967,"female","CA"
2022,"all","19",2502,"female","CA"
2022,"all","20",2963,"female","CA"
2022,"all","21",3742,"female","CA"
2022,"all","22",4045,"female","CA"
2022,"all","23",4388,"female","CA"
2022,"all","24",4788,"female","CA"
2022,"all","10-12",382,"female","CA"
2022,"all","13-14",2031,"female","CA"
2022,"all","25-29",28399,"female","CA"
2022,"all","30-34",31054,"female","CA"
2022,"all","35-39",25429,"female","CA"
2022,"all","40-44",19497,"female","CA"
2022,"all","45-49",12189,"female","CA"
2022,"all","50-54",9287,"female","CA"
2022,"all","55-59",6522,"female","CA"
2022,"all","60-64",3899,"female","CA"
2022,"all","65 and over",2711,"female","CA"
2022,"all","Under 10",21,"female","CA"
