"data_year","offense","age","count","sex","state"
2022,"all","15",4263,"male","CA"
2022,"all","16",4892,"male","CA"
2022,"all","17",5230,"male","CA"
2022,"all","18",7434,"male","CA"
2022,"all","19",8739,"male","CA"
2022,"all","20",9694,"male","CA"
2022,"all","21",11754,"male","CA"
2022,"all","22",12893,"male","CA"
2022,"all","23",14031,"male","CA"
2022,"all","24",15076,"male","CA"
2022,"all","10-12",720,"male","CA"
2022,"all","13-14",4511,"male","CA"
2022,"all","25-29",99097,"male","CA"
2022,"all","30-34",109033,"male","CA"
2022,"all","35-39",89169,"male","CA"
2022,"all","40-44",69844,"male","CA"
2022,"all","45-49",44191,"male","CA"
2022,"all","50-54",35136,"male","CA"
2022,"all","55-59",27244,"male","CA"
2022,"all","60-64",17009,"male","CA"
2022,"all","65 and over",11425,"male","CA"
2022,"all","Under 10",63,"male","CA"
