"data_year","offense","age","count","sex","state"
2022,"all","15",817,"female","CO"
2022,"all","16",686,"female","CO"
2022,"all","17",610,"female","CO"
2022,"all","18",770,"female","CO"
2022,"all","19",861,"female","CO"
2022,"all","20",942,"female","CO"
2022,"all","21",1011,"female","CO"
2022,"all","22",1113,"female","CO"
2022,"all","23",1174,"female","CO"
2022,"all","24",1164,"female","CO"
2022,"all","10-12",457,"female","CO"
2022,"all","13-14",1262,"female","CO"
2022,"all","25-29",6604,"female","CO"
2022,"all","30-34",7537,"female","CO"
2022,"all","35-39",6700,"female","CO"
2022,"all","40-44",4977,"female","CO"
2022,"all","45-49",2790,"female","CO"
2022,"all","50-54",2081,"female","CO"
2022,"all","55-59",1410,"female","CO"
2022,"all","60-64",761,"female","CO"
2022,"all","65 and over",677,"female","CO"
2022,"all","Under 10",0,"female","CO"
