"data_year","offense","age","count","sex","state"
2022,"all","15",1559,"male","CO"
2022,"all","16",1680,"male","CO"
2022,"all","17",1652,"male","CO"
2022,"all","18",2038,"male","CO"
2022,"all","19",2199,"male","CO"
2022,"all","20",2319,"male","CO"
2022,"all","21",2535,"male","CO"
2022,"all","22",2683,"male","CO"
2022,"all","23",2771,"male","CO"
2022,"all","24",2957,"male","CO"
2022,"all","10-12",608,"male","CO"
2022,"all","13-14",1887,"male","CO"
2022,"all","25-29",17666,"male","CO"
2022,"all","30-34",20078,"male","CO"
2022,"all","35-39",16957,"male","CO"
2022,"all","40-44",13045,"male","CO"
2022,"all","45-49",8316,"male","CO"
2022,"all","50-54",6505,"male","CO"
2022,"all","55-59",4601,"male","CO"
2022,"all","60-64",3063,"male","CO"
2022,"all","65 and over",2092,"male","CO"
2022,"all","Under 10",0,"male","CO"
