"data_year","offense","age","count","sex","state"
2022,"all","15",261,"female","CT"
2022,"all","16",314,"female","CT"
2022,"all","17",298,"female","CT"
2022,"all","18",362,"female","CT"
2022,"all","19",445,"female","CT"
2022,"all","20",448,"female","CT"
2022,"all","21",476,"female","CT"
2022,"all","22",541,"female","CT"
2022,"all","23",609,"female","CT"
2022,"all","24",629,"female","CT"
2022,"all","10-12",113,"female","CT"
2022,"all","13-14",413,"female","CT"
2022,"all","25-29",3119,"female","CT"
2022,"all","30-34",3339,"female","CT"
2022,"all","35-39",2916,"female","CT"
2022,"all","40-44",2158,"female","CT"
2022,"all","45-49",1360,"female","CT"
2022,"all","50-54",1112,"female","CT"
2022,"all","55-59",936,"female","CT"
2022,"all","60-64",518,"female","CT"
2022,"all","65 and over",342,"female","CT"
2022,"all","Under 10",0,"female","CT"
