"data_year","offense","age","count","sex","state"
2022,"all","15",665,"male","CT"
2022,"all","16",731,"male","CT"
2022,"all","17",729,"male","CT"
2022,"all","18",983,"male","CT"
2022,"all","19",944,"male","CT"
2022,"all","20",1028,"male","CT"
2022,"all","21",1154,"male","CT"
2022,"all","22",1266,"male","CT"
2022,"all","23",1392,"male","CT"
2022,"all","24",1397,"male","CT"
2022,"all","10-12",203,"male","CT"
2022,"all","13-14",762,"male","CT"
2022,"all","25-29",7882,"male","CT"
2022,"all","30-34",8677,"male","CT"
2022,"all","35-39",7174,"male","CT"
2022,"all","40-44",5780,"male","CT"
2022,"all","45-49",3681,"male","CT"
2022,"all","50-54",3286,"male","CT"
2022,"all","55-59",2709,"male","CT"
2022,"all","60-64",1713,"male","CT"
2022,"all","65 and over",1193,"male","CT"
2022,"all","Under 10",3,"male","CT"
