"data_year","offense","age","count","sex","state"
2022,"all","15",50,"female","DC"
2022,"all","16",46,"female","DC"
2022,"all","17",58,"female","DC"
2022,"all","18",49,"female","DC"
2022,"all","19",79,"female","DC"
2022,"all","20",116,"female","DC"
2022,"all","21",98,"female","DC"
2022,"all","22",112,"female","DC"
2022,"all","23",113,"female","DC"
2022,"all","24",97,"female","DC"
2022,"all","10-12",5,"female","DC"
2022,"all","13-14",96,"female","DC"
2022,"all","25-29",666,"female","DC"
2022,"all","30-34",619,"female","DC"
2022,"all","35-39",435,"female","DC"
2022,"all","40-44",337,"female","DC"
2022,"all","45-49",220,"female","DC"
2022,"all","50-54",151,"female","DC"
2022,"all","55-59",126,"female","DC"
2022,"all","60-64",76,"female","DC"
2022,"all","65 and over",50,"female","DC"
2022,"all","Under 10",0,"female","DC"
