"data_year","offense","age","count","sex","state"
2022,"all","15",266,"male","DC"
2022,"all","16",285,"male","DC"
2022,"all","17",257,"male","DC"
2022,"all","18",268,"male","DC"
2022,"all","19",328,"male","DC"
2022,"all","20",316,"male","DC"
2022,"all","21",334,"male","DC"
2022,"all","22",363,"male","DC"
2022,"all","23",335,"male","DC"
2022,"all","24",364,"male","DC"
2022,"all","10-12",11,"male","DC"
2022,"all","13-14",252,"male","DC"
2022,"all","25-29",2346,"male","DC"
2022,"all","30-34",2143,"male","DC"
2022,"all","35-39",1438,"male","DC"
2022,"all","40-44",1267,"male","DC"
2022,"all","45-49",682,"male","DC"
2022,"all","50-54",588,"male","DC"
2022,"all","55-59",596,"male","DC"
2022,"all","60-64",343,"male","DC"
2022,"all","65 and over",213,"male","DC"
2022,"all","Under 10",0,"male","DC"
