"data_year","offense","age","count","sex","state"
2022,"all","15",132,"female","DE"
2022,"all","16",143,"female","DE"
2022,"all","17",150,"female","DE"
2022,"all","18",172,"female","DE"
2022,"all","19",206,"female","DE"
2022,"all","20",196,"female","DE"
2022,"all","21",182,"female","DE"
2022,"all","22",192,"female","DE"
2022,"all","23",166,"female","DE"
2022,"all","24",213,"female","DE"
2022,"all","10-12",31,"female","DE"
2022,"all","13-14",162,"female","DE"
2022,"all","25-29",1011,"female","DE"
2022,"all","30-34",1236,"female","DE"
2022,"all","35-39",1117,"female","DE"
2022,"all","40-44",839,"female","DE"
2022,"all","45-49",442,"female","DE"
2022,"all","50-54",374,"female","DE"
2022,"all","55-59",239,"female","DE"
2022,"all","60-64",161,"female","DE"
2022,"all","65 and over",96,"female","DE"
2022,"all","Under 10",0,"female","DE"
