"data_year","offense","age","count","sex","state"
2022,"all","15",320,"male","DE"
2022,"all","16",374,"male","DE"
2022,"all","17",370,"male","DE"
2022,"all","18",461,"male","DE"
2022,"all","19",511,"male","DE"
2022,"all","20",473,"male","DE"
2022,"all","21",490,"male","DE"
2022,"all","22",484,"male","DE"
2022,"all","23",512,"male","DE"
2022,"all","24",464,"male","DE"
2022,"all","10-12",60,"male","DE"
2022,"all","13-14",302,"male","DE"
2022,"all","25-29",2384,"male","DE"
2022,"all","30-34",2796,"male","DE"
2022,"all","35-39",2189,"male","DE"
2022,"all","40-44",1735,"male","DE"
2022,"all","45-49",1181,"male","DE"
2022,"all","50-54",954,"male","DE"
2022,"all","55-59",728,"male","DE"
2022,"all","60-64",514,"male","DE"
2022,"all","65 and over",316,"male","DE"
2022,"all","Under 10",1,"male","DE"
