"data_year","offense","age","count","sex","state"
2022,"all","15",331,"female","FL"
2022,"all","16",321,"female","FL"
2022,"all","17",299,"female","FL"
2022,"all","18",449,"female","FL"
2022,"all","19",559,"female","FL"
2022,"all","20",584,"female","FL"
2022,"all","21",690,"female","FL"
2022,"all","22",696,"female","FL"
2022,"all","23",746,"female","FL"
2022,"all","24",744,"female","FL"
2022,"all","10-12",127,"female","FL"
2022,"all","13-14",424,"female","FL"
2022,"all","25-29",3952,"female","FL"
2022,"all","30-34",4377,"female","FL"
2022,"all","35-39",3847,"female","FL"
2022,"all","40-44",3003,"female","FL"
2022,"all","45-49",1953,"female","FL"
2022,"all","50-54",1524,"female","FL"
2022,"all","55-59",1185,"female","FL"
2022,"all","60-64",716,"female","FL"
2022,"all","65 and over",562,"female","FL"
2022,"all","Under 10",7,"female","FL"
