"data_year","offense","age","count","sex","state"
2022,"all","15",935,"male","FL"
2022,"all","16",1040,"male","FL"
2022,"all","17",1252,"male","FL"
2022,"all","18",1417,"male","FL"
2022,"all","19",1538,"male","FL"
2022,"all","20",1498,"male","FL"
2022,"all","21",1741,"male","FL"
2022,"all","22",1771,"male","FL"
2022,"all","23",1915,"male","FL"
2022,"all","24",2129,"male","FL"
2022,"all","10-12",216,"male","FL"
2022,"all","13-14",968,"male","FL"
2022,"all","25-29",11127,"male","FL"
2022,"all","30-34",11689,"male","FL"
2022,"all","35-39",10011,"male","FL"
2022,"all","40-44",8103,"male","FL"
2022,"all","45-49",5636,"male","FL"
2022,"all","50-54",4792,"male","FL"
2022,"all","55-59",3915,"male","FL"
2022,"all","60-64",2850,"male","FL"
2022,"all","65 and over",2111,"male","FL"
2022,"all","Under 10",8,"male","FL"
