"data_year","offense","age","count","sex","state"
2022,"all","15",864,"female","GA"
2022,"all","16",811,"female","GA"
2022,"all","17",1042,"female","GA"
2022,"all","18",1138,"female","GA"
2022,"all","19",1243,"female","GA"
2022,"all","20",1390,"female","GA"
2022,"all","21",1428,"female","GA"
2022,"all","22",1607,"female","GA"
2022,"all","23",1566,"female","GA"
2022,"all","24",1599,"female","GA"
2022,"all","10-12",318,"female","GA"
2022,"all","13-14",1246,"female","GA"
2022,"all","25-29",7946,"female","GA"
2022,"all","30-34",8080,"female","GA"
2022,"all","35-39",6854,"female","GA"
2022,"all","40-44",5084,"female","GA"
2022,"all","45-49",3229,"female","GA"
2022,"all","50-54",2481,"female","GA"
2022,"all","55-59",1658,"female","GA"
2022,"all","60-64",1017,"female","GA"
2022,"all","65 and over",666,"female","GA"
2022,"all","Under 10",12,"female","GA"
