"data_year","offense","age","count","sex","state"
2022,"all","15",1864,"male","GA"
2022,"all","16",2014,"male","GA"
2022,"all","17",2797,"male","GA"
2022,"all","18",3073,"male","GA"
2022,"all","19",3452,"male","GA"
2022,"all","20",3477,"male","GA"
2022,"all","21",3791,"male","GA"
2022,"all","22",3886,"male","GA"
2022,"all","23",3894,"male","GA"
2022,"all","24",3944,"male","GA"
2022,"all","10-12",590,"male","GA"
2022,"all","13-14",2156,"male","GA"
2022,"all","25-29",20313,"male","GA"
2022,"all","30-34",20618,"male","GA"
2022,"all","35-39",16617,"male","GA"
2022,"all","40-44",13274,"male","GA"
2022,"all","45-49",8867,"male","GA"
2022,"all","50-54",7372,"male","GA"
2022,"all","55-59",5867,"male","GA"
2022,"all","60-64",3639,"male","GA"
2022,"all","65 and over",2497,"male","GA"
2022,"all","Under 10",41,"male","GA"
