"data_year","offense","age","count","sex","state"
2022,"all","15",99,"female","HI"
2022,"all","16",89,"female","HI"
2022,"all","17",61,"female","HI"
2022,"all","18",73,"female","HI"
2022,"all","19",106,"female","HI"
2022,"all","20",136,"female","HI"
2022,"all","21",140,"female","HI"
2022,"all","22",129,"female","HI"
2022,"all","23",153,"female","HI"
2022,"all","24",119,"female","HI"
2022,"all","10-12",62,"female","HI"
2022,"all","13-14",186,"female","HI"
2022,"all","25-29",939,"female","HI"
2022,"all","30-34",1037,"female","HI"
2022,"all","35-39",1065,"female","HI"
2022,"all","40-44",726,"female","HI"
2022,"all","45-49",589,"female","HI"
2022,"all","50-54",479,"female","HI"
2022,"all","55-59",402,"female","HI"
2022,"all","60-64",295,"female","HI"
2022,"all","65 and over",211,"female","HI"
2022,"all","Under 10",1,"female","HI"
