"data_year","offense","age","count","sex","state"
2022,"all","15",227,"male","HI"
2022,"all","16",207,"male","HI"
2022,"all","17",200,"male","HI"
2022,"all","18",237,"male","HI"
2022,"all","19",295,"male","HI"
2022,"all","20",344,"male","HI"
2022,"all","21",424,"male","HI"
2022,"all","22",418,"male","HI"
2022,"all","23",452,"male","HI"
2022,"all","24",451,"male","HI"
2022,"all","10-12",106,"male","HI"
2022,"all","13-14",263,"male","HI"
2022,"all","25-29",2892,"male","HI"
2022,"all","30-34",3415,"male","HI"
2022,"all","35-39",3069,"male","HI"
2022,"all","40-44",2751,"male","HI"
2022,"all","45-49",1779,"male","HI"
2022,"all","50-54",1573,"male","HI"
2022,"all","55-59",1268,"male","HI"
2022,"all","60-64",865,"male","HI"
2022,"all","65 and over",889,"male","HI"
2022,"all","Under 10",5,"male","HI"
