"data_year","offense","age","count","sex","state"
2022,"all","15",502,"female","IA"
2022,"all","16",485,"female","IA"
2022,"all","17",497,"female","IA"
2022,"all","18",570,"female","IA"
2022,"all","19",623,"female","IA"
2022,"all","20",569,"female","IA"
2022,"all","21",553,"female","IA"
2022,"all","22",490,"female","IA"
2022,"all","23",533,"female","IA"
2022,"all","24",467,"female","IA"
2022,"all","10-12",286,"female","IA"
2022,"all","13-14",786,"female","IA"
2022,"all","25-29",2449,"female","IA"
2022,"all","30-34",2687,"female","IA"
2022,"all","35-39",2474,"female","IA"
2022,"all","40-44",1998,"female","IA"
2022,"all","45-49",1233,"female","IA"
2022,"all","50-54",850,"female","IA"
2022,"all","55-59",559,"female","IA"
2022,"all","60-64",347,"female","IA"
2022,"all","65 and over",243,"female","IA"
2022,"all","Under 10",3,"female","IA"
