"data_year","offense","age","count","sex","state"
2022,"all","15",939,"male","IA"
2022,"all","16",1032,"male","IA"
2022,"all","17",1043,"male","IA"
2022,"all","18",1359,"male","IA"
2022,"all","19",1512,"male","IA"
2022,"all","20",1352,"male","IA"
2022,"all","21",1352,"male","IA"
2022,"all","22",1380,"male","IA"
2022,"all","23",1310,"male","IA"
2022,"all","24",1282,"male","IA"
2022,"all","10-12",472,"male","IA"
2022,"all","13-14",1273,"male","IA"
2022,"all","25-29",6681,"male","IA"
2022,"all","30-34",7044,"male","IA"
2022,"all","35-39",6039,"male","IA"
2022,"all","40-44",4901,"male","IA"
2022,"all","45-49",3170,"male","IA"
2022,"all","50-54",2414,"male","IA"
2022,"all","55-59",1919,"male","IA"
2022,"all","60-64",1056,"male","IA"
2022,"all","65 and over",779,"male","IA"
2022,"all","Under 10",15,"male","IA"
