"data_year","offense","age","count","sex","state"
2022,"all","15",414,"female","ID"
2022,"all","16",346,"female","ID"
2022,"all","17",284,"female","ID"
2022,"all","18",381,"female","ID"
2022,"all","19",351,"female","ID"
2022,"all","20",410,"female","ID"
2022,"all","21",414,"female","ID"
2022,"all","22",384,"female","ID"
2022,"all","23",412,"female","ID"
2022,"all","24",365,"female","ID"
2022,"all","10-12",180,"female","ID"
2022,"all","13-14",655,"female","ID"
2022,"all","25-29",2145,"female","ID"
2022,"all","30-34",2355,"female","ID"
2022,"all","35-39",2045,"female","ID"
2022,"all","40-44",1553,"female","ID"
2022,"all","45-49",1025,"female","ID"
2022,"all","50-54",717,"female","ID"
2022,"all","55-59",522,"female","ID"
2022,"all","60-64",315,"female","ID"
2022,"all","65 and over",276,"female","ID"
2022,"all","Under 10",3,"female","ID"
