"data_year","offense","age","count","sex","state"
2022,"all","15",702,"male","ID"
2022,"all","16",737,"male","ID"
2022,"all","17",712,"male","ID"
2022,"all","18",898,"male","ID"
2022,"all","19",975,"male","ID"
2022,"all","20",865,"male","ID"
2022,"all","21",1070,"male","ID"
2022,"all","22",1014,"male","ID"
2022,"all","23",1154,"male","ID"
2022,"all","24",943,"male","ID"
2022,"all","10-12",382,"male","ID"
2022,"all","13-14",1056,"male","ID"
2022,"all","25-29",5201,"male","ID"
2022,"all","30-34",5005,"male","ID"
2022,"all","35-39",4308,"male","ID"
2022,"all","40-44",3595,"male","ID"
2022,"all","45-49",2373,"male","ID"
2022,"all","50-54",1896,"male","ID"
2022,"all","55-59",1473,"male","ID"
2022,"all","60-64",869,"male","ID"
2022,"all","65 and over",796,"male","ID"
2022,"all","Under 10",41,"male","ID"
