"data_year","offense","age","count","sex","state"
2022,"all","15",614,"female","IL"
2022,"all","16",689,"female","IL"
2022,"all","17",641,"female","IL"
2022,"all","18",817,"female","IL"
2022,"all","19",886,"female","IL"
2022,"all","20",959,"female","IL"
2022,"all","21",1023,"female","IL"
2022,"all","22",1069,"female","IL"
2022,"all","23",1023,"female","IL"
2022,"all","24",1092,"female","IL"
2022,"all","10-12",181,"female","IL"
2022,"all","13-14",754,"female","IL"
2022,"all","25-29",5686,"female","IL"
2022,"all","30-34",5380,"female","IL"
2022,"all","35-39",4049,"female","IL"
2022,"all","40-44",3181,"female","IL"
2022,"all","45-49",1891,"female","IL"
2022,"all","50-54",1498,"female","IL"
2022,"all","55-59",1039,"female","IL"
2022,"all","60-64",564,"female","IL"
2022,"all","65 and over",358,"female","IL"
2022,"all","Under 10",2,"female","IL"
