"data_year","offense","age","count","sex","state"
2022,"all","15",1530,"male","IL"
2022,"all","16",1761,"male","IL"
2022,"all","17",1835,"male","IL"
2022,"all","18",2256,"male","IL"
2022,"all","19",2404,"male","IL"
2022,"all","20",2582,"male","IL"
2022,"all","21",2624,"male","IL"
2022,"all","22",2724,"male","IL"
2022,"all","23",2713,"male","IL"
2022,"all","24",2786,"male","IL"
2022,"all","10-12",372,"male","IL"
2022,"all","13-14",1633,"male","IL"
2022,"all","25-29",14671,"male","IL"
2022,"all","30-34",14261,"male","IL"
2022,"all","35-39",11455,"male","IL"
2022,"all","40-44",9175,"male","IL"
2022,"all","45-49",6091,"male","IL"
2022,"all","50-54",4930,"male","IL"
2022,"all","55-59",3720,"male","IL"
2022,"all","60-64",2285,"male","IL"
2022,"all","65 and over",1654,"male","IL"
2022,"all","Under 10",9,"male","IL"
