"data_year","offense","age","count","sex","state"
2022,"all","15",565,"female","IN"
2022,"all","16",563,"female","IN"
2022,"all","17",548,"female","IN"
2022,"all","18",812,"female","IN"
2022,"all","19",835,"female","IN"
2022,"all","20",966,"female","IN"
2022,"all","21",986,"female","IN"
2022,"all","22",939,"female","IN"
2022,"all","23",934,"female","IN"
2022,"all","24",932,"female","IN"
2022,"all","10-12",245,"female","IN"
2022,"all","13-14",819,"female","IN"
2022,"all","25-29",4965,"female","IN"
2022,"all","30-34",5132,"female","IN"
2022,"all","35-39",4352,"female","IN"
2022,"all","40-44",3273,"female","IN"
2022,"all","45-49",2147,"female","IN"
2022,"all","50-54",1482,"female","IN"
2022,"all","55-59",923,"female","IN"
2022,"all","60-64",560,"female","IN"
2022,"all","65 and over",291,"female","IN"
2022,"all","Under 10",13,"female","IN"
