"data_year","offense","age","count","sex","state"
2022,"all","15",1141,"male","IN"
2022,"all","16",1297,"male","IN"
2022,"all","17",1387,"male","IN"
2022,"all","18",1970,"male","IN"
2022,"all","19",2244,"male","IN"
2022,"all","20",2216,"male","IN"
2022,"all","21",2229,"male","IN"
2022,"all","22",2240,"male","IN"
2022,"all","23",2349,"male","IN"
2022,"all","24",2267,"male","IN"
2022,"all","10-12",468,"male","IN"
2022,"all","13-14",1374,"male","IN"
2022,"all","25-29",12105,"male","IN"
2022,"all","30-34",12244,"male","IN"
2022,"all","35-39",10336,"male","IN"
2022,"all","40-44",8168,"male","IN"
2022,"all","45-49",5515,"male","IN"
2022,"all","50-54",4319,"male","IN"
2022,"all","55-59",3170,"male","IN"
2022,"all","60-64",1929,"male","IN"
2022,"all","65 and over",1203,"male","IN"
2022,"all","Under 10",35,"male","IN"
