"data_year","offense","age","count","sex","state"
2022,"all","15",348,"female","KS"
2022,"all","16",387,"female","KS"
2022,"all","17",343,"female","KS"
2022,"all","18",593,"female","KS"
2022,"all","19",594,"female","KS"
2022,"all","20",626,"female","KS"
2022,"all","21",616,"female","KS"
2022,"all","22",607,"female","KS"
2022,"all","23",577,"female","KS"
2022,"all","24",507,"female","KS"
2022,"all","10-12",128,"female","KS"
2022,"all","13-14",427,"female","KS"
2022,"all","25-29",2640,"female","KS"
2022,"all","30-34",3088,"female","KS"
2022,"all","35-39",2769,"female","KS"
2022,"all","40-44",2087,"female","KS"
2022,"all","45-49",1117,"female","KS"
2022,"all","50-54",758,"female","KS"
2022,"all","55-59",557,"female","KS"
2022,"all","60-64",312,"female","KS"
2022,"all","65 and over",250,"female","KS"
2022,"all","Under 10",0,"female","KS"
