"data_year","offense","age","count","sex","state"
2022,"all","15",626,"male","KS"
2022,"all","16",939,"male","KS"
2022,"all","17",990,"male","KS"
2022,"all","18",1304,"male","KS"
2022,"all","19",1354,"male","KS"
2022,"all","20",1348,"male","KS"
2022,"all","21",1420,"male","KS"
2022,"all","22",1270,"male","KS"
2022,"all","23",1378,"male","KS"
2022,"all","24",1334,"male","KS"
2022,"all","10-12",242,"male","KS"
2022,"all","13-14",779,"male","KS"
2022,"all","25-29",7170,"male","KS"
2022,"all","30-34",7093,"male","KS"
2022,"all","35-39",6442,"male","KS"
2022,"all","40-44",4964,"male","KS"
2022,"all","45-49",3164,"male","KS"
2022,"all","50-54",2322,"male","KS"
2022,"all","55-59",1747,"male","KS"
2022,"all","60-64",1160,"male","KS"
2022,"all","65 and over",910,"male","KS"
2022,"all","Under 10",0,"male","KS"
