"data_year","offense","age","count","sex","state"
2022,"all","15",170,"female","KY"
2022,"all","16",149,"female","KY"
2022,"all","17",140,"female","KY"
2022,"all","18",394,"female","KY"
2022,"all","19",677,"female","KY"
2022,"all","20",826,"female","KY"
2022,"all","21",935,"female","KY"
2022,"all","22",1030,"female","KY"
2022,"all","23",1074,"female","KY"
2022,"all","24",1172,"female","KY"
2022,"all","10-12",85,"female","KY"
2022,"all","13-14",227,"female","KY"
2022,"all","25-29",6773,"female","KY"
2022,"all","30-34",9249,"female","KY"
2022,"all","35-39",9584,"female","KY"
2022,"all","40-44",7896,"female","KY"
2022,"all","45-49",4635,"female","KY"
2022,"all","50-54",3109,"female","KY"
2022,"all","55-59",1649,"female","KY"
2022,"all","60-64",826,"female","KY"
2022,"all","65 and over",498,"female","KY"
2022,"all","Under 10",2,"female","KY"
