"data_year","offense","age","count","sex","state"
2022,"all","15",430,"male","KY"
2022,"all","16",479,"male","KY"
2022,"all","17",497,"male","KY"
2022,"all","18",1394,"male","KY"
2022,"all","19",1802,"male","KY"
2022,"all","20",2018,"male","KY"
2022,"all","21",2405,"male","KY"
2022,"all","22",2530,"male","KY"
2022,"all","23",2786,"male","KY"
2022,"all","24",2829,"male","KY"
2022,"all","10-12",168,"male","KY"
2022,"all","13-14",556,"male","KY"
2022,"all","25-29",17290,"male","KY"
2022,"all","30-34",21035,"male","KY"
2022,"all","35-39",20510,"male","KY"
2022,"all","40-44",18722,"male","KY"
2022,"all","45-49",12776,"male","KY"
2022,"all","50-54",8920,"male","KY"
2022,"all","55-59",6208,"male","KY"
2022,"all","60-64",3373,"male","KY"
2022,"all","65 and over",1981,"male","KY"
2022,"all","Under 10",12,"male","KY"
