"data_year","offense","age","count","sex","state"
2022,"all","15",655,"female","LA"
2022,"all","16",633,"female","LA"
2022,"all","17",504,"female","LA"
2022,"all","18",751,"female","LA"
2022,"all","19",890,"female","LA"
2022,"all","20",836,"female","LA"
2022,"all","21",778,"female","LA"
2022,"all","22",795,"female","LA"
2022,"all","23",690,"female","LA"
2022,"all","24",788,"female","LA"
2022,"all","10-12",311,"female","LA"
2022,"all","13-14",981,"female","LA"
2022,"all","25-29",3954,"female","LA"
2022,"all","30-34",4047,"female","LA"
2022,"all","35-39",3726,"female","LA"
2022,"all","40-44",2790,"female","LA"
2022,"all","45-49",1717,"female","LA"
2022,"all","50-54",1203,"female","LA"
2022,"all","55-59",823,"female","LA"
2022,"all","60-64",422,"female","LA"
2022,"all","65 and over",323,"female","LA"
2022,"all","Under 10",3,"female","LA"
