"data_year","offense","age","count","sex","state"
2022,"all","15",282,"female","MA"
2022,"all","16",311,"female","MA"
2022,"all","17",344,"female","MA"
2022,"all","18",345,"female","MA"
2022,"all","19",441,"female","MA"
2022,"all","20",444,"female","MA"
2022,"all","21",474,"female","MA"
2022,"all","22",481,"female","MA"
2022,"all","23",494,"female","MA"
2022,"all","24",527,"female","MA"
2022,"all","10-12",90,"female","MA"
2022,"all","13-14",391,"female","MA"
2022,"all","25-29",2901,"female","MA"
2022,"all","30-34",3600,"female","MA"
2022,"all","35-39",3129,"female","MA"
2022,"all","40-44",2458,"female","MA"
2022,"all","45-49",1445,"female","MA"
2022,"all","50-54",1340,"female","MA"
2022,"all","55-59",985,"female","MA"
2022,"all","60-64",567,"female","MA"
2022,"all","65 and over",474,"female","MA"
2022,"all","Under 10",1,"female","MA"
