"data_year","offense","age","count","sex","state"
2022,"all","15",712,"male","MA"
2022,"all","16",787,"male","MA"
2022,"all","17",947,"male","MA"
2022,"all","18",1161,"male","MA"
2022,"all","19",1233,"male","MA"
2022,"all","20",1360,"male","MA"
2022,"all","21",1456,"male","MA"
2022,"all","22",1637,"male","MA"
2022,"all","23",1525,"male","MA"
2022,"all","24",1597,"male","MA"
2022,"all","10-12",157,"male","MA"
2022,"all","13-14",808,"male","MA"
2022,"all","25-29",8628,"male","MA"
2022,"all","30-34",9747,"male","MA"
2022,"all","35-39",8373,"male","MA"
2022,"all","40-44",6655,"male","MA"
2022,"all","45-49",4316,"male","MA"
2022,"all","50-54",3880,"male","MA"
2022,"all","55-59",3272,"male","MA"
2022,"all","60-64",2175,"male","MA"
2022,"all","65 and over",1814,"male","MA"
2022,"all","Under 10",4,"male","MA"
