"data_year","offense","age","count","sex","state"
2022,"all","15",532,"female","MD"
2022,"all","16",517,"female","MD"
2022,"all","17",418,"female","MD"
2022,"all","18",421,"female","MD"
2022,"all","19",476,"female","MD"
2022,"all","20",557,"female","MD"
2022,"all","21",648,"female","MD"
2022,"all","22",736,"female","MD"
2022,"all","23",701,"female","MD"
2022,"all","24",738,"female","MD"
2022,"all","10-12",228,"female","MD"
2022,"all","13-14",813,"female","MD"
2022,"all","25-29",3968,"female","MD"
2022,"all","30-34",4073,"female","MD"
2022,"all","35-39",3043,"female","MD"
2022,"all","40-44",2022,"female","MD"
2022,"all","45-49",1218,"female","MD"
2022,"all","50-54",959,"female","MD"
2022,"all","55-59",691,"female","MD"
2022,"all","60-64",383,"female","MD"
2022,"all","65 and over",318,"female","MD"
2022,"all","Under 10",13,"female","MD"
