"data_year","offense","age","count","sex","state"
2022,"all","15",1211,"male","MD"
2022,"all","16",1327,"male","MD"
2022,"all","17",1329,"male","MD"
2022,"all","18",1473,"male","MD"
2022,"all","19",1682,"male","MD"
2022,"all","20",1760,"male","MD"
2022,"all","21",1886,"male","MD"
2022,"all","22",2079,"male","MD"
2022,"all","23",2073,"male","MD"
2022,"all","24",1975,"male","MD"
2022,"all","10-12",350,"male","MD"
2022,"all","13-14",1401,"male","MD"
2022,"all","25-29",10896,"male","MD"
2022,"all","30-34",10690,"male","MD"
2022,"all","35-39",8370,"male","MD"
2022,"all","40-44",6194,"male","MD"
2022,"all","45-49",3878,"male","MD"
2022,"all","50-54",3484,"male","MD"
2022,"all","55-59",2717,"male","MD"
2022,"all","60-64",1692,"male","MD"
2022,"all","65 and over",1347,"male","MD"
2022,"all","Under 10",41,"male","MD"
