"data_year","offense","age","count","sex","state"
2022,"all","15",108,"female","ME"
2022,"all","16",122,"female","ME"
2022,"all","17",107,"female","ME"
2022,"all","18",149,"female","ME"
2022,"all","19",139,"female","ME"
2022,"all","20",208,"female","ME"
2022,"all","21",193,"female","ME"
2022,"all","22",158,"female","ME"
2022,"all","23",193,"female","ME"
2022,"all","24",173,"female","ME"
2022,"all","10-12",40,"female","ME"
2022,"all","13-14",135,"female","ME"
2022,"all","25-29",1218,"female","ME"
2022,"all","30-34",1623,"female","ME"
2022,"all","35-39",1616,"female","ME"
2022,"all","40-44",1071,"female","ME"
2022,"all","45-49",661,"female","ME"
2022,"all","50-54",471,"female","ME"
2022,"all","55-59",377,"female","ME"
2022,"all","60-64",226,"female","ME"
2022,"all","65 and over",183,"female","ME"
2022,"all","Under 10",8,"female","ME"
