"data_year","offense","age","count","sex","state"
2022,"all","15",264,"male","ME"
2022,"all","16",282,"male","ME"
2022,"all","17",322,"male","ME"
2022,"all","18",427,"male","ME"
2022,"all","19",464,"male","ME"
2022,"all","20",374,"male","ME"
2022,"all","21",483,"male","ME"
2022,"all","22",484,"male","ME"
2022,"all","23",483,"male","ME"
2022,"all","24",539,"male","ME"
2022,"all","10-12",85,"male","ME"
2022,"all","13-14",335,"male","ME"
2022,"all","25-29",2813,"male","ME"
2022,"all","30-34",3464,"male","ME"
2022,"all","35-39",3327,"male","ME"
2022,"all","40-44",2597,"male","ME"
2022,"all","45-49",1612,"male","ME"
2022,"all","50-54",1278,"male","ME"
2022,"all","55-59",920,"male","ME"
2022,"all","60-64",600,"male","ME"
2022,"all","65 and over",529,"male","ME"
2022,"all","Under 10",2,"male","ME"
